run number,detection_sick_people,security_measures,proportion_worker,proportion_retired,proportion_student,people,duration,lockdown_type,step,n_of_death,days,infected - deaths,Neg_student + Neg_retired + Neg_worker,total_infected
6,true,false,53,29,18,500,14,lockdown_retired,661,38,33,440,7539.5,478
2,true,false,53,29,18,500,14,lockdown_retired,641,44,32,433,8015.25,477
7,true,false,53,29,18,500,14,lockdown_retired,701,41,35,437,7528.75,478
8,true,false,53,29,18,500,14,lockdown_retired,741,37,37,432,9054,469
9,true,false,53,29,18,500,14,lockdown_retired,701,32,35,446,8219.75,478
10,true,false,53,29,18,500,14,lockdown_retired,741,41,37,442,8692.25,483
12,true,false,53,29,18,500,14,lockdown_retired,701,33,35,446,7634.5,479
3,true,false,53,29,18,500,14,lockdown_retired,781,36,39,446,8616.5,482
4,true,false,53,29,18,500,14,lockdown_retired,781,33,39,450,7931.25,483
1,true,false,53,29,18,500,14,lockdown_retired,681,49,34,437,8343.25,486
5,true,false,53,29,18,500,14,lockdown_retired,861,36,43,452,7874,488
11,true,false,53,29,18,500,14,lockdown_retired,881,27,44,454,10914.25,481
15,true,false,53,29,18,500,14,lockdown_retired,641,31,32,451,7594,482
17,true,false,53,29,18,500,14,lockdown_retired,641,42,32,439,7646.75,481
19,true,false,53,29,18,500,14,lockdown_retired,701,33,35,454,8604.5,487
13,true,false,53,29,18,500,14,lockdown_retired,781,40,39,430,9580.75,470
18,true,false,53,29,18,500,14,lockdown_retired,701,36,35,438,7853.25,474
14,true,false,53,29,18,500,14,lockdown_retired,701,37,35,441,7439.25,478
16,true,false,53,29,18,500,14,lockdown_retired,781,48,39,423,7845,471
21,true,false,53,29,18,500,14,lockdown_retired,741,40,37,440,8671.5,480
20,true,false,53,29,18,500,14,lockdown_retired,741,42,37,441,9086.5,483
22,true,false,53,29,18,500,14,lockdown_retired,661,39,33,440,8112.25,479
24,true,false,53,29,18,500,14,lockdown_retired,781,42,39,445,9624.5,487
23,true,false,53,29,18,500,14,lockdown_retired,841,44,42,430,10494.5,474
25,true,false,53,29,18,500,14,lockdown_retired,721,43,36,436,8598.75,479
26,true,false,53,29,18,500,14,lockdown_retired,721,36,36,436,7672.75,472
28,true,false,53,29,18,500,14,lockdown_retired,761,40,38,437,9203.5,477
27,true,false,53,29,18,500,14,lockdown_retired,801,38,40,429,9802.5,467
31,true,false,53,29,18,500,14,lockdown_retired,721,38,36,448,8203,486
32,true,false,53,29,18,500,14,lockdown_retired,681,34,34,448,8440,482
29,true,false,53,29,18,500,14,lockdown_retired,841,31,42,448,10896,479
35,true,false,53,29,18,500,14,lockdown_retired,601,27,30,448,7282.75,475
