[run number],detection_sick_people,security_measures,proportion_retired,people,proportion_worker,infectious_rate,duration,lockdown_type,proportion_student,[step],n_of_death,days,count turtles with [color = gray],Neg_student + Neg_retired + Neg_worker,count turtles with [color = gray] + n_of_death
11,true,false,29,500,53,2,14,lockdown_retired,18,661,10,33,472,8525.5,482
10,true,false,29,500,53,2,14,lockdown_retired,18,701,11,35,469,8997,480
2,true,false,29,500,53,2,14,lockdown_retired,18,721,11,36,467,8773.5,478
5,true,false,29,500,53,2,14,lockdown_retired,18,701,8,35,474,8336,482
7,true,false,29,500,53,2,14,lockdown_retired,18,741,7,37,474,9981.75,481
9,true,false,29,500,53,2,14,lockdown_retired,18,741,10,37,468,9620.75,478
6,true,false,29,500,53,2,14,lockdown_retired,18,741,10,37,473,8156.25,483
8,true,false,29,500,53,2,14,lockdown_retired,18,781,11,39,468,8862.5,479
12,true,false,29,500,53,2,14,lockdown_retired,18,761,6,38,474,8821.25,480
4,true,false,29,500,53,2,14,lockdown_retired,18,701,9,35,474,8553.75,483
1,true,false,29,500,53,2,14,lockdown_retired,18,661,13,33,466,8373,479
3,true,false,29,500,53,2,14,lockdown_retired,18,801,7,40,477,9625.5,484
13,true,false,29,500,53,2,14,lockdown_retired,18,681,10,34,473,8465,483
15,true,false,29,500,53,2,14,lockdown_retired,18,641,9,32,471,7467.5,480
18,true,false,29,500,53,2,14,lockdown_retired,18,681,5,34,473,8362.5,478
21,true,false,29,500,53,2,14,lockdown_retired,18,681,17,34,467,8207.5,484
19,true,false,29,500,53,2,14,lockdown_retired,18,741,6,37,462,8631.5,468
17,true,false,29,500,53,2,14,lockdown_retired,18,761,14,38,465,8866.5,479
22,true,false,29,500,53,2,14,lockdown_retired,18,641,6,32,465,7675.75,471
14,true,false,29,500,53,2,14,lockdown_retired,18,801,8,40,472,10596,480
16,true,false,29,500,53,2,14,lockdown_retired,18,801,5,40,479,9807.25,484
20,true,false,29,500,53,2,14,lockdown_retired,18,761,13,38,467,9773.25,480
24,true,false,29,500,53,2,14,lockdown_retired,18,721,13,36,469,8542.5,482
23,true,false,29,500,53,2,14,lockdown_retired,18,681,8,34,469,8413.5,477
25,true,false,29,500,53,2,14,lockdown_retired,18,661,13,33,465,7997.5,478
26,true,false,29,500,53,2,14,lockdown_retired,18,721,11,36,466,8188,477
30,true,false,29,500,53,2,14,lockdown_retired,18,681,10,34,476,7926,486
34,true,false,29,500,53,2,14,lockdown_student,18,641,12,32,473,7878,485
27,true,false,29,500,53,2,14,lockdown_retired,18,761,9,38,468,9194.5,477
35,true,false,29,500,53,2,14,lockdown_student,18,681,11,34,464,9055,475
33,true,false,29,500,53,2,14,lockdown_student,18,661,12,33,464,7444,476
29,true,false,29,500,53,2,14,lockdown_retired,18,741,8,37,472,9143.25,480
28,true,false,29,500,53,2,14,lockdown_retired,18,741,12,37,465,7747.25,477
36,true,false,29,500,53,2,14,lockdown_student,18,621,10,31,468,7483,478
32,true,false,29,500,53,2,14,lockdown_student,18,781,15,39,471,8778.5,486
31,true,false,29,500,53,2,14,lockdown_student,18,701,20,35,461,8169.5,481
37,true,false,29,500,53,2,14,lockdown_student,18,721,10,36,473,8478,483
40,true,false,29,500,53,2,14,lockdown_student,18,621,6,31,463,7952,469
38,true,false,29,500,53,2,14,lockdown_student,18,641,10,32,466,8031.5,476
39,true,false,29,500,53,2,14,lockdown_student,18,681,6,34,478,7849,484
42,true,false,29,500,53,2,14,lockdown_student,18,721,7,36,476,8883,483
44,true,false,29,500,53,2,14,lockdown_student,18,721,11,36,468,8489.5,479
45,true,false,29,500,53,2,14,lockdown_student,18,701,15,35,465,8364,480
41,true,false,29,500,53,2,14,lockdown_student,18,741,12,37,467,8005.5,479
43,true,false,29,500,53,2,14,lockdown_student,18,781,5,39,472,7794.5,477
47,true,false,29,500,53,2,14,lockdown_student,18,681,14,34,464,8005,478
48,true,false,29,500,53,2,14,lockdown_student,18,641,12,32,470,7518,482
46,true,false,29,500,53,2,14,lockdown_student,18,761,12,38,465,9432,477
49,true,false,29,500,53,2,14,lockdown_student,18,701,6,35,465,8108.5,471
50,true,false,29,500,53,2,14,lockdown_student,18,661,12,33,469,8435.5,481
55,true,false,29,500,53,2,14,lockdown_student,18,701,9,35,472,8097.5,481
52,true,false,29,500,53,2,14,lockdown_student,18,741,9,37,471,8755,480
58,true,false,29,500,53,2,14,lockdown_student,18,661,10,33,469,8230.5,479
56,true,false,29,500,53,2,14,lockdown_student,18,721,11,36,468,9173.5,479
57,true,false,29,500,53,2,14,lockdown_student,18,741,7,37,462,7948,469
54,true,false,29,500,53,2,14,lockdown_student,18,821,10,41,471,9014.5,481
51,true,false,29,500,53,2,14,lockdown_student,18,801,7,40,459,8726,466
53,true,false,29,500,53,2,14,lockdown_student,18,901,8,45,475,9119.5,483
59,true,false,29,500,53,2,14,lockdown_student,18,681,12,34,463,7991,475
60,true,false,29,500,53,2,14,lockdown_student,18,661,12,33,462,7752,474
61,true,false,29,500,53,2,14,none,18,681,16,34,469,6648.75,485
62,true,false,29,500,53,2,14,none,18,741,22,37,452,7448.5,474
63,true,false,29,500,53,2,14,none,18,721,13,36,469,7929.75,482
64,true,false,29,500,53,2,14,none,18,761,16,38,464,7697.25,480
65,true,false,29,500,53,2,14,none,18,761,13,38,470,8121.75,483
70,true,false,29,500,53,2,14,none,18,601,9,30,470,6049,479
67,true,false,29,500,53,2,14,none,18,721,17,36,459,6988,476
66,true,false,29,500,53,2,14,none,18,741,11,37,465,7499,476
68,true,false,29,500,53,2,14,none,18,801,12,40,470,7793.75,482
71,true,false,29,500,53,2,14,none,18,641,9,32,474,6415.25,483
72,true,false,29,500,53,2,14,none,18,601,8,30,467,6517.25,475
69,true,false,29,500,53,2,14,none,18,801,8,40,465,7266.5,473
73,true,false,29,500,53,2,14,none,18,861,11,43,470,8176,481
74,true,false,29,500,53,2,14,none,18,701,15,35,468,7088,483
77,true,false,29,500,53,2,14,none,18,621,15,31,473,6334,488
76,true,false,29,500,53,2,14,none,18,641,9,32,475,6680.75,484
78,true,false,29,500,53,2,14,none,18,641,13,32,470,7425,483
75,true,false,29,500,53,2,14,none,18,681,11,34,473,7351.5,484
80,true,false,29,500,53,2,14,none,18,661,14,33,465,6821.75,479
79,true,false,29,500,53,2,14,none,18,721,12,36,475,7410,487
81,true,false,29,500,53,2,14,none,18,741,12,37,473,7281.75,485
82,true,false,29,500,53,2,14,none,18,641,12,32,475,6787.25,487
83,true,false,29,500,53,2,14,none,18,761,14,38,458,7603,472
84,true,false,29,500,53,2,14,none,18,681,6,34,482,7475.25,488
85,true,false,29,500,53,2,14,none,18,741,12,37,470,8182,482
86,true,false,29,500,53,2,14,none,18,701,8,35,477,7032.75,485
89,true,false,29,500,53,2,14,none,18,661,15,33,460,7254.25,475
87,true,false,29,500,53,2,14,none,18,681,7,34,467,6816.75,474
88,true,false,29,500,53,2,14,none,18,761,8,38,469,6694.25,477
92,true,false,29,500,53,2,14,lockdown_retired+student,18,701,13,35,461,9901,474
90,true,false,29,500,53,2,14,none,18,761,7,38,474,7068.25,481
91,true,false,29,500,53,2,14,lockdown_retired+student,18,721,10,36,453,9958,463
93,true,false,29,500,53,2,14,lockdown_retired+student,18,721,7,36,449,9588,456
96,true,false,29,500,53,2,14,lockdown_retired+student,18,721,11,36,451,9864.5,462
95,true,false,29,500,53,2,14,lockdown_retired+student,18,761,6,38,468,11694,474
94,true,false,29,500,53,2,14,lockdown_retired+student,18,901,10,45,453,9703.5,463
97,true,false,29,500,53,2,14,lockdown_retired+student,18,741,7,37,463,10551,470
99,true,false,29,500,53,2,14,lockdown_retired+student,18,661,10,33,455,8853,465
98,true,false,29,500,53,2,14,lockdown_retired+student,18,761,11,38,441,10489.5,452
101,true,false,29,500,53,2,14,lockdown_retired+student,18,681,14,34,458,9261,472
102,true,false,29,500,53,2,14,lockdown_retired+student,18,701,13,35,449,9032,462
