[run number],detection_sick_people,security_measures,proportion_retired,people,proportion_worker,infectious_rate,duration,lockdown_type,proportion_student,[step],n_of_death,days,count turtles with [color = gray],Neg_student + Neg_retired + Neg_worker,count turtles with [color = gray] + n_of_death
8,true,true,29,500,53,2,14,lockdown_retired,18,1061,8,53,197,7418.5,205
10,true,true,29,500,53,2,14,lockdown_retired,18,1121,6,56,233,8917.5,239
4,true,true,29,500,53,2,14,lockdown_retired,18,1141,4,57,275,10114,279
9,true,true,29,500,53,2,14,lockdown_retired,18,1161,6,58,310,10230.25,316
7,true,true,29,500,53,2,14,lockdown_retired,18,1341,5,67,255,10720.75,260
5,true,true,29,500,53,2,14,lockdown_retired,18,1381,6,69,320,14165.5,326
12,true,true,29,500,53,2,14,lockdown_retired,18,1481,10,74,240,12221.5,250
2,true,true,29,500,53,2,14,lockdown_retired,18,1481,2,74,281,12273.25,283
1,true,true,29,500,53,2,14,lockdown_retired,18,1341,5,67,256,11001.25,261
6,true,true,29,500,53,2,14,lockdown_retired,18,1741,6,87,271,14958.5,277
11,true,true,29,500,53,2,14,lockdown_retired,18,1841,5,92,236,16864.5,241
13,true,true,29,500,53,2,14,lockdown_retired,18,1181,6,59,294,10132.75,300
3,true,true,29,500,53,2,14,lockdown_retired,18,2161,4,108,209,15737.75,213
15,true,true,29,500,53,2,14,lockdown_retired,18,1501,8,75,255,12237.75,263
14,true,true,29,500,53,2,14,lockdown_retired,18,1621,2,81,159,10747,161
16,true,true,29,500,53,2,14,lockdown_retired,18,1701,3,85,224,13852.75,227
17,true,true,29,500,53,2,14,lockdown_retired,18,1441,11,72,261,11534.5,272
21,true,true,29,500,53,2,14,lockdown_retired,18,1221,7,61,277,10322.75,284
20,true,true,29,500,53,2,14,lockdown_retired,18,1481,5,74,272,13824.25,277
23,true,true,29,500,53,2,14,lockdown_retired,18,1081,5,54,261,8145.5,266
19,true,true,29,500,53,2,14,lockdown_retired,18,1601,6,80,260,11642.5,266
22,true,true,29,500,53,2,14,lockdown_retired,18,1581,9,79,268,13920.75,277
18,true,true,29,500,53,2,14,lockdown_retired,18,2101,7,105,294,22163.5,301
24,true,true,29,500,53,2,14,lockdown_retired,18,1341,3,67,267,11699,270
25,true,true,29,500,53,2,14,lockdown_retired,18,1261,4,63,217,9330.5,221
28,true,true,29,500,53,2,14,lockdown_retired,18,1061,9,53,298,9831,307
27,true,true,29,500,53,2,14,lockdown_retired,18,1281,5,64,185,8308.5,190
26,true,true,29,500,53,2,14,lockdown_retired,18,1561,6,78,296,14052.75,302
32,true,true,29,500,53,2,14,lockdown_student,18,1381,8,69,272,10701.5,280
30,true,true,29,500,53,2,14,lockdown_retired,18,1301,6,65,294,11418.75,300
33,true,true,29,500,53,2,14,lockdown_student,18,1301,9,65,247,10852.5,256
29,true,true,29,500,53,2,14,lockdown_retired,18,1601,5,80,305,16968.5,310
35,true,true,29,500,53,2,14,lockdown_student,18,1221,8,61,251,9650,259
31,true,true,29,500,53,2,14,lockdown_student,18,1921,2,96,271,16424.5,273
34,true,true,29,500,53,2,14,lockdown_student,18,1581,5,79,265,13663,270
39,true,true,29,500,53,2,14,lockdown_student,18,1121,8,56,266,9186,274
43,true,true,29,500,53,2,14,lockdown_student,18,801,0,40,43,3277,43
38,true,true,29,500,53,2,14,lockdown_student,18,1381,4,69,229,10292.5,233
37,true,true,29,500,53,2,14,lockdown_student,18,1421,9,71,265,11302,274
41,true,true,29,500,53,2,14,lockdown_student,18,1241,7,62,304,11054,311
40,true,true,29,500,53,2,14,lockdown_student,18,1521,2,76,287,13083.5,289
44,true,true,29,500,53,2,14,lockdown_student,18,1341,8,67,283,11924.5,291
36,true,true,29,500,53,2,14,lockdown_student,18,2481,7,124,222,15370,229
42,true,true,29,500,53,2,14,lockdown_student,18,1381,7,69,228,11197,235
48,true,true,29,500,53,2,14,lockdown_student,18,1301,3,65,175,8234.5,178
47,true,true,29,500,53,2,14,lockdown_student,18,1321,7,66,300,12222.5,307
45,true,true,29,500,53,2,14,lockdown_student,18,1841,4,92,270,14289,274
51,true,true,29,500,53,2,14,lockdown_student,18,1341,9,67,241,10373,250
46,true,true,29,500,53,2,14,lockdown_student,18,1841,5,92,250,14223,255
49,true,true,29,500,53,2,14,lockdown_student,18,1741,3,87,124,10201.5,127
50,true,true,29,500,53,2,14,lockdown_student,18,1901,9,95,295,19671,304
55,true,true,29,500,53,2,14,lockdown_student,18,1181,8,59,262,9006.5,270
52,true,true,29,500,53,2,14,lockdown_student,18,1421,6,71,271,11727.5,277
56,true,true,29,500,53,2,14,lockdown_student,18,1481,8,74,220,11270,228
54,true,true,29,500,53,2,14,lockdown_student,18,1981,5,99,238,17109,243
59,true,true,29,500,53,2,14,lockdown_student,18,1241,8,62,262,10340,270
53,true,true,29,500,53,2,14,lockdown_student,18,2181,4,109,243,19961,247
57,true,true,29,500,53,2,14,lockdown_student,18,1541,6,77,286,11558,292
62,true,true,29,500,53,2,14,none,18,1441,8,72,248,8051.25,256
58,true,true,29,500,53,2,14,lockdown_student,18,1661,10,83,267,12335,277
65,true,true,29,500,53,2,14,none,18,1261,4,63,274,7547,278
64,true,true,29,500,53,2,14,none,18,1261,7,63,323,8646.25,330
61,true,true,29,500,53,2,14,none,18,1561,10,78,272,10239.25,282
