[run number],detection_sick_people,security_measures,proportion_retired,people,proportion_worker,infectious_rate,duration,lockdown_type,proportion_student,[step],n_of_death,days,count turtles with [color = gray],Neg_student + Neg_retired + Neg_worker,count turtles with [color = gray] + n_of_death
3,false,false,29,500,53,2,14,lockdown_retired,18,661,18,33,482,2174.5,500
9,false,false,29,500,53,2,14,lockdown_retired,18,641,12,32,488,2184,500
7,false,false,29,500,53,2,14,lockdown_retired,18,681,12,34,488,2321.5,500
10,false,false,29,500,53,2,14,lockdown_retired,18,681,13,34,487,2191,500
12,false,false,29,500,53,2,14,lockdown_retired,18,741,8,37,492,2424,500
6,false,false,29,500,53,2,14,lockdown_retired,18,701,12,35,488,2261,500
5,false,false,29,500,53,2,14,lockdown_retired,18,761,8,38,492,2415.5,500
8,false,false,29,500,53,2,14,lockdown_retired,18,701,9,35,491,2275,500
2,false,false,29,500,53,2,14,lockdown_retired,18,661,5,33,495,2221.5,500
4,false,false,29,500,53,2,14,lockdown_retired,18,701,16,35,484,2305.5,500
1,false,false,29,500,53,2,14,lockdown_retired,18,661,12,33,488,2262.5,500
11,false,false,29,500,53,2,14,lockdown_retired,18,941,10,47,490,2736.5,500
14,false,false,29,500,53,2,14,lockdown_retired,18,641,19,32,480,2167,499
19,false,false,29,500,53,2,14,lockdown_retired,18,641,8,32,492,2277.5,500
15,false,false,29,500,53,2,14,lockdown_retired,18,721,12,36,488,2395.5,500
18,false,false,29,500,53,2,14,lockdown_retired,18,641,12,32,488,2129,500
13,false,false,29,500,53,2,14,lockdown_retired,18,741,14,37,486,2443,500
22,false,false,29,500,53,2,14,lockdown_retired,18,681,9,34,491,2277,500
21,false,false,29,500,53,2,14,lockdown_retired,18,641,9,32,490,2208.5,499
17,false,false,29,500,53,2,14,lockdown_retired,18,801,11,40,489,2678.5,500
20,false,false,29,500,53,2,14,lockdown_retired,18,841,10,42,490,2821,500
16,false,false,29,500,53,2,14,lockdown_retired,18,941,13,47,487,2910.5,500
24,false,false,29,500,53,2,14,lockdown_retired,18,721,10,36,490,2338.5,500
23,false,false,29,500,53,2,14,lockdown_retired,18,801,14,40,486,2588.5,500
27,false,false,29,500,53,2,14,lockdown_retired,18,641,17,32,483,2167,500
25,false,false,29,500,53,2,14,lockdown_retired,18,801,8,40,492,2624.5,500
30,false,false,29,500,53,2,14,lockdown_retired,18,641,7,32,492,2212.5,499
29,false,false,29,500,53,2,14,lockdown_retired,18,741,9,37,491,2486,500
32,false,false,29,500,53,2,14,lockdown_student,18,661,16,33,484,2160,500
28,false,false,29,500,53,2,14,lockdown_retired,18,761,8,38,492,2420.5,500
26,false,false,29,500,53,2,14,lockdown_retired,18,881,12,44,488,2454,500
31,false,false,29,500,53,2,14,lockdown_student,18,681,15,34,485,2227.5,500
33,false,false,29,500,53,2,14,lockdown_student,18,841,18,42,482,2632.5,500
34,false,false,29,500,53,2,14,lockdown_student,18,781,17,39,483,2565,500
36,false,false,29,500,53,2,14,lockdown_student,18,661,10,33,490,2092.5,500
35,false,false,29,500,53,2,14,lockdown_student,18,761,16,38,484,2295,500
37,false,false,29,500,53,2,14,lockdown_student,18,721,16,36,484,2295,500
38,false,false,29,500,53,2,14,lockdown_student,18,741,6,37,494,2295,500
42,false,false,29,500,53,2,14,lockdown_student,18,641,11,32,489,2025,500
39,false,false,29,500,53,2,14,lockdown_student,18,721,7,36,492,2295,499
43,false,false,29,500,53,2,14,lockdown_student,18,681,16,34,484,2160,500
41,false,false,29,500,53,2,14,lockdown_student,18,701,9,35,490,2295,499
40,false,false,29,500,53,2,14,lockdown_student,18,721,17,36,483,2295,500
44,false,false,29,500,53,2,14,lockdown_student,18,661,16,33,484,2092.5,500
46,false,false,29,500,53,2,14,lockdown_student,18,641,10,32,490,2025,500
45,false,false,29,500,53,2,14,lockdown_student,18,721,7,36,492,2362.5,499
48,false,false,29,500,53,2,14,lockdown_student,18,801,12,40,488,2497.5,500
47,false,false,29,500,53,2,14,lockdown_student,18,781,10,39,490,2430,500
49,false,false,29,500,53,2,14,lockdown_student,18,741,12,37,488,2227.5,500
50,false,false,29,500,53,2,14,lockdown_student,18,761,7,38,493,2430,500
52,false,false,29,500,53,2,14,lockdown_student,18,681,11,34,489,2160,500
51,false,false,29,500,53,2,14,lockdown_student,18,701,17,35,483,2295,500
53,false,false,29,500,53,2,14,lockdown_student,18,761,14,38,486,2227.5,500
54,false,false,29,500,53,2,14,lockdown_student,18,801,12,40,486,2295,498
55,false,false,29,500,53,2,14,lockdown_student,18,781,11,39,489,2227.5,500
56,false,false,29,500,53,2,14,lockdown_student,18,641,11,32,489,2025,500
57,false,false,29,500,53,2,14,lockdown_student,18,621,10,31,490,2025,500
58,false,false,29,500,53,2,14,lockdown_student,18,701,8,35,491,2227.5,499
59,false,false,29,500,53,2,14,lockdown_student,18,681,9,34,491,2227.5,500
60,false,false,29,500,53,2,14,lockdown_student,18,741,13,37,487,2227.5,500
62,false,false,29,500,53,2,14,none,18,621,13,31,487,0,500
61,false,false,29,500,53,2,14,none,18,761,12,38,488,0,500
65,false,false,29,500,53,2,14,none,18,641,19,32,481,0,500
63,false,false,29,500,53,2,14,none,18,681,14,34,485,0,499
64,false,false,29,500,53,2,14,none,18,781,14,39,486,0,500
67,false,false,29,500,53,2,14,none,18,621,13,31,487,0,500
68,false,false,29,500,53,2,14,none,18,621,14,31,486,0,500
66,false,false,29,500,53,2,14,none,18,761,18,38,482,0,500
69,false,false,29,500,53,2,14,none,18,701,13,35,486,0,499
70,false,false,29,500,53,2,14,none,18,721,9,36,491,0,500
71,false,false,29,500,53,2,14,none,18,721,6,36,494,0,500
72,false,false,29,500,53,2,14,none,18,741,5,37,495,0,500
74,false,false,29,500,53,2,14,none,18,701,11,35,489,0,500
73,false,false,29,500,53,2,14,none,18,801,16,40,484,0,500
75,false,false,29,500,53,2,14,none,18,741,13,37,487,0,500
76,false,false,29,500,53,2,14,none,18,761,13,38,487,0,500
77,false,false,29,500,53,2,14,none,18,741,15,37,485,0,500
80,false,false,29,500,53,2,14,none,18,701,16,35,484,0,500
81,false,false,29,500,53,2,14,none,18,681,16,34,484,0,500
78,false,false,29,500,53,2,14,none,18,681,13,34,487,0,500
82,false,false,29,500,53,2,14,none,18,601,7,30,493,0,500
79,false,false,29,500,53,2,14,none,18,801,10,40,490,0,500
83,false,false,29,500,53,2,14,none,18,681,9,34,490,0,499
84,false,false,29,500,53,2,14,none,18,661,6,33,494,0,500
86,false,false,29,500,53,2,14,none,18,721,12,36,488,0,500
85,false,false,29,500,53,2,14,none,18,781,16,39,484,0,500
87,false,false,29,500,53,2,14,none,18,741,12,37,488,0,500
88,false,false,29,500,53,2,14,none,18,681,12,34,488,0,500
90,false,false,29,500,53,2,14,none,18,701,10,35,490,0,500
89,false,false,29,500,53,2,14,none,18,821,8,41,492,0,500
92,false,false,29,500,53,2,14,lockdown_retired+student,18,721,8,36,492,4841,500
93,false,false,29,500,53,2,14,lockdown_retired+student,18,701,14,35,485,4687.5,499
91,false,false,29,500,53,2,14,lockdown_retired+student,18,801,14,40,485,5229,499
95,false,false,29,500,53,2,14,lockdown_retired+student,18,721,6,36,493,4999.5,499
94,false,false,29,500,53,2,14,lockdown_retired+student,18,841,9,42,490,5385.5,499
96,false,false,29,500,53,2,14,lockdown_retired+student,18,701,15,35,485,4403.5,500
98,false,false,29,500,53,2,14,lockdown_retired+student,18,761,14,38,486,4544,500
99,false,false,29,500,53,2,14,lockdown_retired+student,18,741,17,37,483,4670.5,500
97,false,false,29,500,53,2,14,lockdown_retired+student,18,801,9,40,491,4980,500
100,false,false,29,500,53,2,14,lockdown_retired+student,18,861,8,43,492,5127,500
101,false,false,29,500,53,2,14,lockdown_retired+student,18,741,9,37,489,4978.5,498
102,false,false,29,500,53,2,14,lockdown_retired+student,18,781,13,39,486,4958.5,499
104,false,false,29,500,53,2,14,lockdown_retired+student,18,701,5,35,495,4725.5,500
105,false,false,29,500,53,2,14,lockdown_retired+student,18,741,10,37,490,4833,500
106,false,false,29,500,53,2,14,lockdown_retired+student,18,801,13,40,487,4822,500
103,false,false,29,500,53,2,14,lockdown_retired+student,18,801,7,40,491,5142.5,498
107,false,false,29,500,53,2,14,lockdown_retired+student,18,881,7,44,493,5809.5,500
108,false,false,29,500,53,2,14,lockdown_retired+student,18,721,8,36,492,4722,500
110,false,false,29,500,53,2,14,lockdown_retired+student,18,761,17,38,482,4677.5,499
109,false,false,29,500,53,2,14,lockdown_retired+student,18,761,12,38,488,4817.5,500
111,false,false,29,500,53,2,14,lockdown_retired+student,18,841,15,42,485,4940,500
112,false,false,29,500,53,2,14,lockdown_retired+student,18,701,10,35,490,4706,500
113,false,false,29,500,53,2,14,lockdown_retired+student,18,701,5,35,495,4319.5,500
114,false,false,29,500,53,2,14,lockdown_retired+student,18,841,8,42,491,5401.5,499
115,false,false,29,500,53,2,14,lockdown_retired+student,18,821,15,41,484,5203,499
116,false,false,29,500,53,2,14,lockdown_retired+student,18,881,14,44,486,4943,500
117,false,false,29,500,53,2,14,lockdown_retired+student,18,821,10,41,487,4974,497
118,false,false,29,500,53,2,14,lockdown_retired+student,18,741,8,37,490,4856.5,498
119,false,false,29,500,53,2,14,lockdown_retired+student,18,821,11,41,488,4969,499
122,false,false,29,500,53,2,14,essential_activities,18,921,18,46,482,11851.5,500
123,false,false,29,500,53,2,14,essential_activities,18,881,4,44,490,11706.5,494
121,false,false,29,500,53,2,14,essential_activities,18,1061,19,53,480,11292.5,499
124,false,false,29,500,53,2,14,essential_activities,18,821,12,41,486,10028,498
120,false,false,29,500,53,2,14,lockdown_retired+student,18,981,9,49,490,6482,499
125,false,false,29,500,53,2,14,essential_activities,18,901,12,45,486,11102,498
127,false,false,29,500,53,2,14,essential_activities,18,841,12,42,484,11099,496
126,false,false,29,500,53,2,14,essential_activities,18,1021,12,51,488,13512.5,500
129,false,false,29,500,53,2,14,essential_activities,18,941,6,47,489,11145.5,495
128,false,false,29,500,53,2,14,essential_activities,18,961,12,48,482,12168.5,494
130,false,false,29,500,53,2,14,essential_activities,18,861,9,43,488,10868,497
132,false,false,29,500,53,2,14,essential_activities,18,841,10,42,487,10836,497
131,false,false,29,500,53,2,14,essential_activities,18,941,13,47,477,11629,490
134,false,false,29,500,53,2,14,essential_activities,18,921,13,46,485,12165.5,498
133,false,false,29,500,53,2,14,essential_activities,18,1001,15,50,480,12135,495
135,false,false,29,500,53,2,14,essential_activities,18,921,9,46,489,11126,498
136,false,false,29,500,53,2,14,essential_activities,18,1041,8,52,487,10864.5,495
137,false,false,29,500,53,2,14,essential_activities,18,1081,10,54,485,13804.5,495
140,false,false,29,500,53,2,14,essential_activities,18,841,15,42,484,10537.5,499
138,false,false,29,500,53,2,14,essential_activities,18,921,8,46,489,11941.5,497
141,false,false,29,500,53,2,14,essential_activities,18,961,13,48,481,12167.5,494
139,false,false,29,500,53,2,14,essential_activities,18,1201,10,60,484,15139,494
142,false,false,29,500,53,2,14,essential_activities,18,941,14,47,484,10813,498
143,false,false,29,500,53,2,14,essential_activities,18,921,12,46,486,11386.5,498
145,false,false,29,500,53,2,14,essential_activities,18,921,11,46,487,11354,498
144,false,false,29,500,53,2,14,essential_activities,18,881,7,44,491,10604.5,498
147,false,false,29,500,53,2,14,essential_activities,18,821,10,41,485,10304,495
146,false,false,29,500,53,2,14,essential_activities,18,961,13,48,483,11354,496
149,false,false,29,500,53,2,14,essential_activities,18,921,10,46,484,11657,494
148,false,false,29,500,53,2,14,essential_activities,18,861,8,43,488,11121,496
150,false,false,29,500,53,2,14,essential_activities,18,761,13,38,482,10003.5,495
153,false,false,29,500,53,2,14,all,18,1081,2,54,49,21430,51
159,false,false,29,500,53,2,14,all,18,1041,1,52,58,20243.5,59
152,false,false,29,500,53,2,14,all,18,1841,2,92,93,35981.5,95
151,false,false,29,500,53,2,14,all,18,2321,5,116,146,45968.5,151
154,false,false,29,500,53,2,14,all,18,2121,2,106,114,42446,116
162,false,false,29,500,53,2,14,all,18,1701,3,85,68,31931,71
160,false,false,29,500,53,2,14,all,18,1921,7,96,96,38353.5,103
156,false,false,29,500,53,2,14,all,18,2501,8,125,241,48726.5,249
163,false,false,29,500,53,2,14,all,18,1841,5,92,176,35526.5,181
158,false,false,29,500,53,2,14,all,18,2541,1,127,75,50193,76
167,false,false,29,500,53,2,14,all,18,801,2,40,29,15774,31
165,false,false,29,500,53,2,14,all,18,2141,0,107,49,42525,49
164,false,false,29,500,53,2,14,all,18,2181,0,109,126,42525,126
171,false,false,29,500,53,2,14,all,18,1101,1,55,25,21452.5,26
166,false,false,29,500,53,2,14,all,18,1841,1,92,85,33994,86
161,false,false,29,500,53,2,14,all,18,3181,3,159,194,61812,197
173,false,false,29,500,53,2,14,all,18,1081,2,54,47,21029,49
