"[run number]","proportion_retired","people","security_measures","detection_sick_people","proportion_worker","infectious_rate","duration","lockdown_type","proportion_student","[step]","n_of_death","days","count turtles with [color = gray]","Neg_student + Neg_retired + Neg_worker","count turtles with [color = gray] + n_of_death"
"7","29","500","false","true","53","3","14","lockdown_worker","18","381","13","19","487","6524.75","500"
"5","29","500","false","true","53","3","14","lockdown_worker","18","401","11","20","489","6903.25","500"
"11","29","500","false","true","53","3","14","lockdown_worker","18","401","16","20","484","6809.25","500"
"4","29","500","false","true","53","3","14","lockdown_worker","18","401","9","20","491","6884","500"
"12","29","500","false","true","53","3","14","lockdown_worker","18","381","6","19","494","6526.25","500"
"6","29","500","false","true","53","3","14","lockdown_worker","18","421","11","21","489","6909.5","500"
"10","29","500","false","true","53","3","14","lockdown_worker","18","421","9","21","491","7315.75","500"
"3","29","500","false","true","53","3","14","lockdown_worker","18","401","12","20","488","6879","500"
"8","29","500","false","true","53","3","14","lockdown_worker","18","421","7","21","493","7209.5","500"
"1","29","500","false","true","53","3","14","lockdown_worker","18","401","12","20","488","6907.75","500"
"9","29","500","false","true","53","3","14","lockdown_worker","18","441","5","22","495","7762.25","500"
"2","29","500","false","true","53","3","14","lockdown_worker","18","441","15","22","485","7715.5","500"
"15","29","500","false","true","53","3","14","lockdown_worker","18","381","16","19","484","6507.75","500"
"14","29","500","false","true","53","3","14","lockdown_worker","18","401","17","20","483","6881.75","500"
"16","29","500","false","true","53","3","14","lockdown_worker","18","401","7","20","493","6903","500"
"13","29","500","false","true","53","3","14","lockdown_worker","18","381","11","19","489","6533.75","500"
"17","29","500","false","true","53","3","14","lockdown_worker","18","401","12","20","488","6869.25","500"
"18","29","500","false","true","53","3","14","lockdown_worker","18","421","15","21","485","7244.25","500"
"19","29","500","false","true","53","3","14","lockdown_worker","18","401","12","20","488","6869.5","500"
"22","29","500","false","true","53","3","14","lockdown_worker","18","381","10","19","490","6535.5","500"
"21","29","500","false","true","53","3","14","lockdown_worker","18","381","11","19","489","6561.5","500"
"20","29","500","false","true","53","3","14","lockdown_worker","18","441","10","22","490","7671","500"
"23","29","500","false","true","53","3","14","lockdown_worker","18","401","13","20","487","6862.25","500"
"24","29","500","false","true","53","3","14","lockdown_worker","18","401","14","20","486","6948.5","500"
"25","29","500","false","true","53","3","14","lockdown_worker","18","401","12","20","488","6902.75","500"
"26","29","500","false","true","53","3","14","lockdown_worker","18","401","7","20","493","6937","500"
"28","29","500","false","true","53","3","14","lockdown_worker","18","401","12","20","488","6840","500"
"27","29","500","false","true","53","3","14","lockdown_worker","18","401","14","20","486","6914","500"
"29","29","500","false","true","53","3","14","lockdown_worker","18","401","6","20","494","6873","500"
"31","29","500","false","true","53","3","14","lockdown_worker","18","381","10","19","490","6541","500"
"30","29","500","false","true","53","3","14","lockdown_worker","18","401","11","20","489","6879","500"
"33","29","500","false","true","53","3","14","lockdown_worker","18","401","16","20","484","6910.5","500"
"32","29","500","false","true","53","3","14","lockdown_worker","18","401","9","20","491","6883","500"
"35","29","500","false","true","53","3","14","lockdown_worker","18","401","11","20","489","6864","500"
"34","29","500","false","true","53","3","14","lockdown_worker","18","421","10","21","490","7283.25","500"
"36","29","500","false","true","53","3","14","lockdown_worker","18","401","18","20","481","6861.75","499"
"37","29","500","false","true","53","3","14","lockdown_worker","18","401","14","20","486","6881.5","500"
"38","29","500","false","true","53","3","14","lockdown_worker","18","401","10","20","490","6835.5","500"
"40","29","500","false","true","53","3","14","lockdown_worker","18","421","6","21","494","7192","500"
"39","29","500","false","true","53","3","14","lockdown_worker","18","441","16","22","484","7368.5","500"
"42","29","500","false","true","53","3","14","lockdown_worker","18","401","6","20","494","6925","500"
"41","29","500","false","true","53","3","14","lockdown_worker","18","461","11","23","488","8099.75","499"
"43","29","500","false","true","53","3","14","lockdown_worker","18","441","12","22","488","7631.75","500"
"45","29","500","false","true","53","3","14","lockdown_worker","18","401","9","20","491","6897.5","500"
"44","29","500","false","true","53","3","14","lockdown_worker","18","421","9","21","491","7249.5","500"
"46","29","500","false","true","53","3","14","lockdown_worker","18","401","12","20","488","6879.25","500"
