"[run number]","proportion_retired","people","security_measures","detection_sick_people","proportion_worker","infectious_rate","duration","lockdown_type","proportion_student","[step]","n_of_death","days","count turtles with [color = gray]","Neg_student + Neg_retired + Neg_worker","count turtles with [color = gray] + n_of_death"
"3","29","500","true","true","53","3","14","lockdown_worker","18","921","3","46","92","12954.75","95"
"8","29","500","true","true","53","3","14","lockdown_worker","18","921","4","46","184","13651.5","188"
"6","29","500","true","true","53","3","14","lockdown_worker","18","1101","8","55","248","17240.5","256"
"12","29","500","true","true","53","3","14","lockdown_worker","18","1241","1","62","139","17886.75","140"
"10","29","500","true","true","53","3","14","lockdown_worker","18","1281","5","64","195","19383.75","200"
"5","29","500","true","true","53","3","14","lockdown_worker","18","1201","1","60","252","18374","253"
"1","29","500","true","true","53","3","14","lockdown_worker","18","1101","2","55","225","16719","227"
"2","29","500","true","true","53","3","14","lockdown_worker","18","1461","5","73","267","22885.5","272"
"11","29","500","true","true","53","3","14","lockdown_worker","18","1861","3","93","221","27363.5","224"
"7","29","500","true","true","53","3","14","lockdown_worker","18","1761","3","88","191","26951.75","194"
"13","29","500","true","true","53","3","14","lockdown_worker","18","1041","3","52","259","16154.75","262"
"15","29","500","true","true","53","3","14","lockdown_worker","18","961","10","48","228","14546.5","238"
"9","29","500","true","true","53","3","14","lockdown_worker","18","2241","6","112","230","34482.75","236"
"4","29","500","true","true","53","3","14","lockdown_worker","18","2181","12","109","248","33595.25","260"
"18","29","500","true","true","53","3","14","lockdown_worker","18","1081","1","54","205","16388.75","206"
"14","29","500","true","true","53","3","14","lockdown_worker","18","1541","7","77","208","23156.25","215"
"17","29","500","true","true","53","3","14","lockdown_worker","18","1341","3","67","178","19775.5","181"
"16","29","500","true","true","53","3","14","lockdown_worker","18","1321","7","66","254","20437","261"
"20","29","500","true","true","53","3","14","lockdown_worker","18","1141","8","57","253","17741.25","261"
"21","29","500","true","true","53","3","14","lockdown_worker","18","1201","5","60","215","17956.25","220"
"22","29","500","true","true","53","3","14","lockdown_worker","18","1341","5","67","226","20568","231"
"31","29","500","true","true","53","3","14","lockdown_worker","18","521","0","26","17","6943.5","17"
"23","29","500","true","true","53","3","14","lockdown_worker","18","1721","11","86","167","25310","178"
"30","29","500","true","true","53","3","14","lockdown_worker","18","1041","1","52","161","15159.25","162"
"24","29","500","true","true","53","3","14","lockdown_worker","18","1501","4","75","205","22780.25","209"
"26","29","500","true","true","53","3","14","lockdown_worker","18","1561","10","78","214","23590","224"
"25","29","500","true","true","53","3","14","lockdown_worker","18","1661","6","83","214","24862","220"
"28","29","500","true","true","53","3","14","lockdown_worker","18","1701","0","85","121","23973.75","121"
"27","29","500","true","true","53","3","14","lockdown_worker","18","1641","5","82","256","26045.5","261"
"32","29","500","true","true","53","3","14","lockdown_worker","18","1101","4","55","103","15578","107"
"29","29","500","true","true","53","3","14","lockdown_worker","18","1541","0","77","229","24393.75","229"
"19","29","500","true","true","53","3","14","lockdown_worker","18","2761","4","138","206","42547.5","210"
"34","29","500","true","true","53","3","14","lockdown_worker","18","1101","4","55","88","15224.5","92"
"37","29","500","true","true","53","3","14","lockdown_worker","18","1021","6","51","179","15371","185"
"33","29","500","true","true","53","3","14","lockdown_worker","18","1621","6","81","171","24323.75","177"
"35","29","500","true","true","53","3","14","lockdown_worker","18","1361","3","68","239","20917.5","242"
"42","29","500","true","true","53","3","14","lockdown_worker","18","1241","9","62","191","18379.5","200"
"38","29","500","true","true","53","3","14","lockdown_worker","18","1441","10","72","268","22883.75","278"
"41","29","500","true","true","53","3","14","lockdown_worker","18","1281","10","64","208","19024.25","218"
"39","29","500","true","true","53","3","14","lockdown_worker","18","1761","11","88","195","26829.5","206"
"45","29","500","true","true","53","3","14","lockdown_worker","18","1141","6","57","174","16869.75","180"
"36","29","500","true","true","53","3","14","lockdown_worker","18","1901","3","95","292","30616","295"
"40","29","500","true","true","53","3","14","lockdown_worker","18","1781","5","89","209","26905","214"
"44","29","500","true","true","53","3","14","lockdown_worker","18","1181","6","59","198","17493.5","204"
"47","29","500","true","true","53","3","14","lockdown_worker","18","941","4","47","188","13960.5","192"
