[run number],detection_sick_people,security_measures,deterrents,proportion_retired,people,_network_type,_nodes,proportion_paranoid,proportion_worker,infectious_rate,duration,discovery_type,lockdown_type,proportion_student,stability-factor,proportion_skeptic,[step],n_of_death,days,count turtles with [spreader? = true],count turtles with [color = gray],count turtles with [notp? = true],Neg_student + Neg_retired + Neg_worker,count turtles with [color = gray] + n_of_death
4,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,641,7,33,53,493,102,2218.5,500
10,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,701,16,36,39,484,86,2237.5,500
9,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,741,8,38,42,492,84,2346,500
7,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,681,13,35,58,487,117,2246.5,500
6,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,721,11,37,153,489,268,2459,500
3,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,681,9,35,77,491,137,2345.5,500
11,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,761,19,39,37,481,81,2338.5,500
12,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,781,14,40,55,486,100,2509,500
8,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,761,7,39,82,493,168,2419,500
5,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,741,12,38,67,488,137,2332,500
1,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,721,11,37,50,489,101,2266.5,500
2,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,841,14,43,49,486,102,2712,500
17,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,641,10,33,71,490,123,2204.5,500
14,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,681,8,35,41,492,95,2355,500
16,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,641,11,33,61,489,99,2190.5,500
13,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,741,12,38,95,486,203,2457,498
19,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,721,9,37,71,491,141,2338.5,500
18,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,701,14,36,47,486,90,2121,500
22,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,701,3,36,54,497,98,2380.5,500
15,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,741,8,38,58,492,126,2413,500
20,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,681,9,35,104,491,185,2345.5,500
21,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,761,13,39,71,487,139,2331.5,500
24,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,701,6,36,94,494,200,2353.5,500
23,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,721,15,37,135,485,239,2315,500
26,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,741,9,38,52,491,103,2265.5,500
27,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,701,8,36,52,492,117,2410.5,500
29,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,661,18,34,33,482,70,2023,500
28,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,681,11,35,35,488,95,2265.5,499
32,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,681,15,35,53,485,96,2295,500
30,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,681,13,35,70,487,119,2104.5,500
35,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,661,8,34,96,492,174,2160,500
25,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,881,13,45,44,487,79,3048,500
33,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,681,11,35,50,489,98,2092.5,500
34,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,741,14,38,41,486,89,2160,500
31,false,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,761,11,39,93,489,167,2430,500
