[run number],detection_sick_people,security_measures,deterrents,proportion_retired,people,_network_type,_nodes,proportion_paranoid,proportion_worker,infectious_rate,duration,discovery_type,lockdown_type,proportion_student,stability-factor,proportion_skeptic,[step],n_of_death,days,count turtles with [spreader? = true],count turtles with [color = gray],count turtles with [notp? = true],Neg_student + Neg_retired + Neg_worker,count turtles with [color = gray] + n_of_death
2,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,621,13,32,20,487,144,2106,500
12,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,661,3,34,6,497,100,2238.5,500
8,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,681,12,35,7,488,73,2250,500
5,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,641,15,33,24,485,251,2113.5,500
6,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,661,18,34,15,482,103,2238,500
10,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,701,12,36,8,488,65,2408,500
11,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,741,14,38,8,486,112,2390.5,500
9,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,761,8,39,17,491,170,2644.5,499
4,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,681,11,35,6,488,87,2337.5,499
7,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,801,8,41,7,492,83,2288.5,500
1,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,701,11,36,14,489,105,2399,500
3,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,841,10,43,18,490,106,2538.5,500
16,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,641,7,33,18,493,166,2218,500
15,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,641,11,33,16,489,159,2193,500
20,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,641,9,33,12,491,95,2208,500
13,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,781,14,40,10,485,90,2518,499
21,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,701,14,36,13,486,93,2247.5,500
14,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,701,9,36,14,490,98,2341,499
19,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,741,11,38,11,489,141,2458.5,500
18,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,721,10,37,21,490,156,2334.5,500
22,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,761,15,39,14,485,101,2581.5,500
17,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,761,11,39,7,489,101,2200,500
23,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,701,11,36,10,489,89,2395.5,500
24,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,781,12,40,22,488,165,2328.5,500
25,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,681,11,35,7,489,83,2263,500
26,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,701,9,36,6,491,99,2412,500
28,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,701,14,36,14,486,150,2322.5,500
27,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,721,11,37,9,489,89,2196,500
34,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,681,10,35,8,490,79,2227.5,500
35,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,661,5,34,35,495,245,2160,500
30,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,721,7,37,14,493,92,2146,500
31,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,681,10,35,12,490,105,2227.5,500
36,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,721,14,37,20,486,144,2227.5,500
29,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,781,10,40,5,490,87,2617,500
33,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,801,11,41,15,489,109,2092.5,500
32,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,781,5,40,11,495,127,2430,500
39,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,681,15,35,22,485,173,2227.5,500
37,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,841,12,43,4,488,88,2497.5,500
38,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,701,8,36,17,492,90,2227.5,500
45,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,681,8,35,12,492,131,2295,500
43,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,681,22,35,14,478,117,2160,500
48,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,661,11,34,16,489,193,2160,500
47,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,641,13,33,13,487,80,2092.5,500
41,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,781,9,40,16,491,187,2362.5,500
44,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,741,15,38,14,485,105,2160,500
42,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,721,7,37,7,493,82,2025,500
40,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,821,11,42,7,489,78,2227.5,500
46,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,741,8,38,8,492,121,2295,500
50,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,621,18,32,8,482,99,2025,500
49,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,741,9,38,15,491,142,2227.5,500
52,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,641,15,33,22,485,158,2092.5,500
51,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,761,7,39,12,493,136,2362.5,500
54,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,601,13,31,18,487,102,1890,500
57,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,701,11,36,5,489,72,2160,500
60,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,661,18,34,13,482,120,2160,500
59,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,701,12,36,11,488,105,2227.5,500
55,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,741,13,38,14,487,104,2295,500
53,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,901,17,46,12,483,90,2767.5,500
56,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,781,9,40,17,491,144,2227.5,500
58,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,781,14,40,15,486,132,2295,500
61,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,741,5,38,4,495,64,0,500
62,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,721,7,37,9,493,114,0,500
63,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,621,12,32,30,488,162,0,500
64,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,801,12,41,12,488,106,0,500
71,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,681,12,35,22,488,218,0,500
69,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,661,13,34,12,487,154,0,500
65,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,801,17,41,12,483,89,0,500
70,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,641,13,33,8,487,105,0,500
68,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,661,5,34,9,495,104,0,500
66,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,741,9,38,19,491,143,0,500
67,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,701,8,36,5,492,98,0,500
72,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,701,15,36,19,485,112,0,500
73,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,721,6,37,26,494,198,0,500
74,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,721,10,37,23,490,176,0,500
75,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,701,9,36,14,491,202,0,500
78,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,661,11,34,6,489,80,0,500
76,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,781,12,40,10,488,107,0,500
77,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,721,13,37,15,486,160,0,499
82,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,621,19,32,11,481,73,0,500
81,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,681,16,35,12,484,84,0,500
79,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,601,15,31,19,485,201,0,500
84,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,661,8,34,12,492,97,0,500
80,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,941,8,48,23,491,175,0,499
83,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,881,20,45,7,480,128,0,500
85,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,721,18,37,12,482,111,0,500
86,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,701,9,36,17,491,145,0,500
87,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,641,13,33,13,487,143,0,500
88,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,661,13,34,10,487,83,0,500
89,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,681,11,35,15,489,111,0,500
91,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired+student,18,200,12,661,12,34,17,487,120,4420,499
92,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired+student,18,200,12,701,6,36,9,494,102,4860,500
90,false,false,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,741,16,38,12,483,110,0,499
