[run number],detection_sick_people,security_measures,deterrents,proportion_retired,people,_network_type,_nodes,proportion_paranoid,proportion_worker,infectious_rate,duration,discovery_type,lockdown_type,proportion_student,stability-factor,proportion_skeptic,[step],n_of_death,days,count turtles with [spreader? = true],count turtles with [color = gray],count turtles with [notp? = true],Neg_student + Neg_retired + Neg_worker,count turtles with [color = gray] + n_of_death
9,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,921,10,47,70,483,137,3163,493
4,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,981,8,50,54,487,111,3408,495
2,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1001,11,51,57,482,98,3395.5,493
11,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1021,16,52,63,477,120,3388,493
8,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1061,17,54,70,475,136,3462,492
6,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1041,16,53,34,472,78,3468,488
12,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1021,10,52,50,479,92,3389.5,489
3,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1101,12,56,46,480,85,3288.5,492
7,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1001,8,51,91,488,170,3141,496
5,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1101,13,56,29,477,71,3500,490
1,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1081,8,55,45,484,95,3846.5,492
10,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1361,12,69,56,477,105,4296,489
14,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1021,21,52,72,474,127,3424,495
13,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1161,8,59,47,481,82,3948.5,489
15,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1081,12,55,69,472,132,3301.5,484
18,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,981,17,50,115,480,233,3092,497
20,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1001,17,51,45,479,77,3255.5,496
16,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1081,10,55,68,483,137,3531,493
22,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1001,10,51,82,484,170,3378.5,494
17,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1121,12,57,46,479,100,3834.5,491
19,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1101,8,56,45,483,93,3472,491
24,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1041,13,53,57,467,114,3513,480
23,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1161,13,59,42,483,90,3887.5,496
21,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1301,5,66,39,491,72,4403,496
28,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1001,12,51,59,479,109,3298.5,491
26,false,true,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1141,10,58,49,480,94,3590,490
