[run number],detection_sick_people,security_measures,deterrents,proportion_retired,people,_network_type,_nodes,proportion_paranoid,proportion_worker,infectious_rate,duration,discovery_type,lockdown_type,proportion_student,stability-factor,proportion_skeptic,[step],n_of_death,days,count turtles with [spreader? = true],count turtles with [color = gray],count turtles with [notp? = true],Neg_student + Neg_retired + Neg_worker,count turtles with [color = gray] + n_of_death
11,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,861,14,44,28,481,206,2858,495
6,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1041,11,53,12,475,100,3584.5,486
7,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1021,13,52,7,478,86,3426,491
4,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1021,9,52,7,474,92,3454,483
10,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1141,18,58,11,476,102,3844.5,494
3,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1161,12,59,14,475,98,3760.5,487
9,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1181,10,60,10,477,130,3796,487
1,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1061,10,54,7,479,78,3746.5,489
8,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1261,12,64,6,475,66,4333,487
2,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1221,12,62,19,481,162,4147.5,493
5,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1241,18,63,14,466,101,4127.5,484
12,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1221,13,62,12,473,105,3962.5,486
13,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1061,11,54,9,477,90,3701,488
14,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1061,14,54,6,477,99,3406.5,491
18,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,961,10,49,19,487,186,3192,497
16,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1221,10,62,6,475,67,3866.5,485
15,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1181,17,60,12,476,88,3777.5,493
22,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,981,5,50,6,489,122,3285,494
24,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1001,21,51,17,468,185,3265.5,489
21,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,901,11,46,26,482,265,3009,493
20,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,901,12,46,35,481,240,2899.5,493
17,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1081,10,55,11,482,72,3451,492
19,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1081,10,55,6,481,107,3511.5,491
23,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1121,9,57,8,480,98,3676,489
25,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1101,10,56,14,479,99,3652,489
29,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,961,11,49,11,479,111,3178,490
31,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,961,6,49,16,488,206,3105,494
26,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1281,7,65,18,486,135,4106,493
28,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1221,12,62,17,478,138,4072,490
30,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1101,11,56,9,480,93,3714.5,491
35,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,981,9,50,13,475,121,3172.5,484
33,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,981,11,50,10,478,109,3240,489
34,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,1181,14,60,9,475,80,3780,489
27,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1281,12,65,13,481,125,4303.5,493
36,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,1041,10,53,8,479,95,3375,489
32,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,1581,13,80,12,482,130,5332.5,495
37,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,941,17,48,10,477,146,3037.5,494
38,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,1041,11,53,12,477,94,3442.5,488
39,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,1061,13,54,17,479,128,3375,492
42,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,1121,9,57,17,478,137,3577.5,487
40,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,1181,11,60,15,484,120,3712.5,495
41,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,1161,12,59,15,480,141,3847.5,492
43,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,1001,14,51,13,481,114,3172.5,495
45,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,1101,12,56,15,483,149,3645,495
46,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,1181,10,60,17,477,87,3510,487
44,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,1061,12,54,20,482,159,3442.5,494
47,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,1021,14,52,16,476,105,3172.5,490
48,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,1101,13,56,24,479,181,3510,492
49,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,1081,9,55,7,486,111,3510,495
50,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,1121,15,57,13,475,125,3712.5,490
52,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,981,9,50,7,480,98,3105,489
56,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,1021,15,52,4,476,103,3240,491
53,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,1101,9,56,21,481,133,3645,490
54,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,981,12,50,7,475,78,3240,487
57,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,1061,12,54,14,475,102,3375,487
51,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,1241,9,63,10,476,62,4050,485
55,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,1061,12,54,8,476,61,3577.5,488
58,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,1361,13,69,11,473,119,4252.5,486
59,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,981,13,50,15,482,102,3105,495
60,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,1241,12,63,7,475,78,4050,487
61,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,1081,10,55,7,479,99,0,489
64,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,961,11,49,16,482,126,0,493
67,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,1021,10,52,11,484,119,0,494
62,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,1261,11,64,9,481,147,0,492
63,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,1201,12,61,16,475,102,0,487
66,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,941,9,48,31,486,190,0,495
65,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,1241,10,63,9,482,105,0,492
68,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,1281,13,65,10,484,146,0,497
69,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,1081,13,55,6,478,70,0,491
71,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,941,12,48,17,484,206,0,496
70,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,1141,11,58,11,477,84,0,488
72,false,true,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,941,13,48,5,479,103,0,492
