[run number],detection_sick_people,security_measures,deterrents,proportion_retired,people,_network_type,_nodes,proportion_paranoid,proportion_worker,infectious_rate,duration,discovery_type,lockdown_type,proportion_student,stability-factor,proportion_skeptic,[step],n_of_death,days,count turtles with [spreader? = true],count turtles with [color = gray],count turtles with [notp? = true],Neg_student + Neg_retired + Neg_worker,count turtles with [color = gray] + n_of_death
10,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,701,7,36,74,465,147,9182.75,472
6,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,721,11,37,73,472,156,9339,483
11,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,681,6,35,53,480,102,8170.75,486
4,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,721,13,37,55,466,95,8811,479
3,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,721,3,37,48,485,82,7855.75,488
8,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,681,12,35,58,461,116,8360.5,473
7,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,701,15,36,59,465,131,8250.25,480
5,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,741,11,38,47,460,103,7957,471
9,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,701,10,36,46,471,99,7885,481
12,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,721,12,37,38,473,84,8139.25,485
1,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,781,11,40,35,469,95,8384.25,480
2,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,681,9,35,98,466,189,7909.25,475
13,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,601,9,31,37,473,80,7633.75,482
14,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,661,6,34,89,476,163,7423.5,482
16,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,601,9,31,78,470,150,7526.25,479
19,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,601,5,31,43,464,88,7282.25,469
18,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,681,5,35,47,467,101,8153.25,472
21,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,641,15,33,42,472,78,7357,487
17,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,741,11,38,48,462,94,8365.25,473
20,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,701,10,36,66,470,114,8564,480
15,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,821,10,42,51,468,129,9493.25,478
23,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,741,6,38,46,463,85,7978.5,469
22,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,861,14,44,35,471,80,11319,485
24,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,841,9,43,49,472,100,9626.5,481
25,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,681,10,35,54,474,97,8860,484
30,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,641,12,33,39,469,70,7867,481
29,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,701,11,36,49,463,118,8387.25,474
28,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,701,11,36,77,461,152,8203.75,472
26,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,841,6,43,48,479,104,9284,485
32,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,641,12,33,68,470,123,7126.5,482
27,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,861,10,44,49,457,88,10837.5,467
31,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,761,14,39,52,462,112,8101.5,476
33,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,801,12,41,50,464,101,10024.5,476
35,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,701,13,36,49,465,110,8939,478
34,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,661,9,34,48,465,101,7621,474
36,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,641,5,33,49,464,98,7441,469
37,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,761,11,39,59,465,110,8244,476
40,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,601,14,31,93,459,175,7231.5,473
38,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,721,16,37,96,468,172,8588,484
39,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,781,7,40,112,460,243,9969.5,467
44,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,641,18,33,67,463,142,8020.5,481
45,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,601,7,31,84,477,161,7359.5,484
43,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,721,13,37,43,470,86,8342,483
46,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,721,13,37,62,466,114,8594.5,479
41,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,781,11,40,55,466,106,9375,477
42,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,821,16,42,93,473,180,8453,489
47,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,761,17,39,57,457,116,9076,474
48,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,621,13,32,40,469,86,7046,482
49,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,681,17,35,47,462,80,7722.5,479
51,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,661,11,34,47,469,81,7744,480
52,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,701,11,36,109,475,221,8457.5,486
56,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,661,13,34,54,460,111,7579.5,473
54,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,721,8,37,44,477,83,8318,485
58,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,661,8,34,57,470,106,8306.5,478
53,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,801,7,41,63,484,128,9961.5,491
55,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,821,7,42,54,473,100,9853.5,480
57,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,761,12,39,60,471,114,8583,483
59,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,761,12,39,61,469,107,7843,481
50,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,1141,9,58,56,472,109,14498,481
61,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,641,11,33,60,471,115,6813.25,482
60,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,801,15,41,80,463,146,8291.5,478
63,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,681,11,35,69,464,135,7023.75,475
64,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,641,13,33,33,467,80,6353.5,480
62,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,781,12,40,33,477,77,8692,489
67,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,681,8,35,128,471,236,6370.75,479
66,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,681,7,35,36,473,73,6592.5,480
65,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,901,11,46,60,468,103,8239.5,479
70,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,681,11,35,109,469,181,6701,480
68,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,781,7,40,49,480,103,7315.25,487
72,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,621,13,32,63,463,132,5884.75,476
69,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,681,9,35,111,473,224,6418.25,482
71,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,741,12,38,48,476,117,6685.75,488
73,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,621,6,32,46,476,72,6865.75,482
74,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,681,6,35,54,486,109,6776.5,492
76,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,621,8,32,68,480,156,6879,488
75,true,false,false,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,701,13,36,80,474,143,7390.25,487
