[run number],detection_sick_people,security_measures,deterrents,proportion_retired,people,_network_type,_nodes,proportion_paranoid,proportion_worker,infectious_rate,duration,discovery_type,lockdown_type,proportion_student,stability-factor,proportion_skeptic,[step],n_of_death,days,count turtles with [spreader? = true],count turtles with [color = gray],count turtles with [notp? = true],Neg_student + Neg_retired + Neg_worker,count turtles with [color = gray] + n_of_death
2,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,641,11,33,5,459,77,7667.75,470
5,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,661,9,34,14,470,142,7995.5,479
6,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,681,12,35,18,474,158,8424.25,486
3,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,641,9,33,20,465,165,7542.75,474
4,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,661,7,34,11,474,102,7857.25,481
7,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,761,12,39,45,463,325,8663.25,475
10,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,701,10,36,20,473,136,7657,483
11,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,701,10,36,11,471,132,8540.75,481
8,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,721,12,37,5,467,72,9103.5,479
1,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,701,5,36,8,469,104,8104.75,474
12,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,761,14,39,14,472,124,7934.5,486
9,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,821,9,42,13,468,124,8743.5,477
15,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,641,9,33,9,461,80,7705,470
19,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,661,16,34,15,461,103,7262,477
17,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,641,16,33,14,465,108,7756,481
21,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,701,15,36,10,466,74,8489.25,481
23,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,681,10,35,7,470,78,8105.75,480
18,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,661,9,34,13,470,145,7538.25,479
16,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,741,17,38,13,461,163,7733.5,478
14,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,781,10,40,9,468,101,9024.25,478
24,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,701,12,36,21,466,122,8427.5,478
20,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,781,14,40,16,462,109,9509.75,476
22,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,661,11,34,8,469,105,7873.5,480
13,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,941,8,48,7,469,101,11812,477
28,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,621,12,32,12,474,123,7506.25,486
27,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,661,17,34,28,469,183,7309.5,486
26,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,721,8,37,10,475,99,8501,483
29,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,701,11,36,10,465,100,7729.5,476
31,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,681,8,35,11,465,85,8334.5,473
34,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,721,9,37,5,464,91,8290,473
25,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,841,17,43,15,458,155,9519.5,475
32,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,681,11,35,17,470,151,8046,481
35,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,641,10,33,10,471,85,8024,481
30,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,801,11,41,5,464,80,8405,475
33,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,801,15,41,12,466,134,9540.5,481
36,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,721,10,37,7,475,87,7985,485
38,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,741,12,38,24,469,165,8704,481
41,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,681,14,35,9,478,96,7830.5,492
37,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,781,12,40,35,468,249,9012,480
42,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,641,7,33,9,473,149,7441,480
39,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,781,14,40,15,470,104,9192.5,484
40,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,761,10,39,19,467,151,8333,477
43,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,741,15,38,9,466,89,7486,481
44,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,741,6,38,5,481,72,8578,487
45,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,761,14,39,15,464,182,10368.5,478
46,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,701,12,36,9,461,75,7424.5,473
47,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,761,10,39,11,473,103,8804,483
48,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,801,12,41,10,471,80,8998,483
50,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,661,9,34,10,472,85,8087.5,481
49,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,721,12,37,10,462,103,8062,474
51,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,721,10,37,15,477,123,8879,487
52,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,701,10,36,20,471,180,7837,481
54,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,701,15,36,12,464,129,8168.5,479
53,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,761,10,39,17,461,160,9293,471
55,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,701,8,36,21,469,123,8091.5,477
56,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,761,12,39,10,465,115,9381,477
58,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,641,9,33,21,471,206,7132,480
57,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,841,9,43,6,471,78,9472.5,480
59,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,781,10,40,15,473,92,7492.5,483
60,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,721,8,37,13,468,89,7873,476
64,true,false,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,661,15,34,9,468,87,7293.25,483
