[run number],detection_sick_people,security_measures,deterrents,proportion_retired,people,_network_type,_nodes,proportion_paranoid,proportion_worker,infectious_rate,duration,discovery_type,lockdown_type,proportion_student,stability-factor,proportion_skeptic,[step],n_of_death,days,count turtles with [spreader? = true],count turtles with [color = gray],count turtles with [notp? = true],Neg_student + Neg_retired + Neg_worker,count turtles with [color = gray] + n_of_death
7,true,true,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,941,5,48,55,310,90,8331.75,315
1,true,true,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,841,5,43,51,286,79,7511.25,291
2,true,true,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,981,10,50,38,321,72,10031.75,331
8,true,true,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1221,8,62,47,302,98,9830.25,310
6,true,true,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1221,6,62,47,322,110,9696,328
3,true,true,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1281,4,65,30,328,71,12596,332
5,true,true,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1221,10,62,76,353,141,12696.5,363
10,true,true,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1261,4,64,47,272,102,10227.5,276
12,true,true,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1461,3,74,49,277,94,12698.75,280
11,true,true,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1541,11,78,46,319,85,16012.75,330
4,true,true,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1441,4,73,53,286,96,13911.25,290
9,true,true,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1661,9,84,74,363,140,20069.25,372
15,true,true,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1181,8,60,65,339,123,10937.25,347
17,true,true,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,921,10,47,65,352,160,9631.75,362
13,true,true,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1561,6,79,104,324,193,16056.5,330
21,true,true,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1121,5,57,44,334,91,11204.25,339
24,true,true,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,941,9,48,145,421,303,10826.25,430
23,true,true,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1021,8,52,73,330,144,10355.5,338
14,true,true,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1341,8,68,45,338,79,12126.25,346
20,true,true,false,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1361,9,69,75,341,133,14036.5,350
