run number,_nodes,proportion_paranoid,proportion_skeptic,people,detection_sick_people,security_measures,deterrents,proportion_worker,proportion_retired,proportion_student,duration,lockdown_type,step,n_of_death,days,count turtles with [spreader? = true],infected - deaths,misinformed,Neg_student + Neg_retired + Neg_worker,total_infected
9,500,12,12,500,true,false,false,53,29,18,14,lockdown_retired,641,35,33,34,448,69,8075.75,483
3,500,12,12,500,true,false,false,53,29,18,14,lockdown_retired,641,38,33,84,442,166,7437.25,480
4,500,12,12,500,true,false,false,53,29,18,14,lockdown_retired,701,39,36,42,439,72,7462.75,478
8,500,12,12,500,true,false,false,53,29,18,14,lockdown_retired,721,44,37,123,439,227,8828.75,483
1,500,12,12,500,true,false,false,53,29,18,14,lockdown_retired,621,35,32,39,440,93,7514.25,475
11,500,12,12,500,true,false,false,53,29,18,14,lockdown_retired,721,34,37,59,447,102,8567.5,481
10,500,12,12,500,true,false,false,53,29,18,14,lockdown_retired,801,33,41,40,450,85,10239.25,483
5,500,12,12,500,true,false,false,53,29,18,14,lockdown_retired,741,38,38,46,439,73,9034.5,477
7,500,12,12,500,true,false,false,53,29,18,14,lockdown_retired,721,39,37,36,443,68,9154,482
2,500,12,12,500,true,false,false,53,29,18,14,lockdown_retired,701,26,36,37,444,79,8437.75,470
12,500,12,12,500,true,false,false,53,29,18,14,lockdown_retired,721,29,37,40,459,86,7979.5,488
6,500,12,12,500,true,false,false,53,29,18,14,lockdown_retired,761,47,39,43,414,87,8585,461
13,500,12,12,500,true,false,false,53,29,18,14,lockdown_retired,681,31,35,53,452,105,8388.5,483
14,500,12,12,500,true,false,false,53,29,18,14,lockdown_retired,681,39,35,113,440,196,8532.75,479
16,500,12,12,500,true,false,false,53,29,18,14,lockdown_retired,701,39,36,51,440,92,8256.75,479
21,500,12,12,500,true,false,false,53,29,18,14,lockdown_retired,681,47,35,32,430,65,7591.5,477
18,500,12,12,500,true,false,false,53,29,18,14,lockdown_retired,781,36,40,49,441,83,8401.75,477
19,500,12,12,500,true,false,false,53,29,18,14,lockdown_retired,761,28,39,42,457,94,9864,485
15,500,12,12,500,true,false,false,53,29,18,14,lockdown_retired,741,40,38,82,447,162,8419.75,487
23,500,12,12,500,true,false,false,53,29,18,14,lockdown_retired,741,38,38,70,446,127,8503,484
17,500,12,12,500,true,false,false,53,29,18,14,lockdown_retired,701,41,36,38,437,78,8219.75,478
