"[run number]","deterrents","detection_sick_people","security_measures","proportion_retired","people","_network_type","_nodes","proportion_paranoid","proportion_worker","infectious_rate","duration","discovery_type","lockdown_type","proportion_student","stability-factor","proportion_skeptic","[step]","n_of_death","days","count turtles with [spreader? = true]","count turtles with [color = gray]","count turtles with [notp? = true]","Neg_student + Neg_retired + Neg_worker","count turtles with [color = gray] + n_of_death"
"9","false","false","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","361","12","19","109","488","199","4770","500"
"11","false","false","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","361","13","19","150","487","316","4770","500"
"7","false","false","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","361","10","19","66","490","150","4770","500"
"8","false","false","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","381","6","20","51","494","107","5035","500"
"3","false","false","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","381","11","20","56","489","100","5035","500"
"5","false","false","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","401","11","21","40","489","71","5300","500"
"4","false","false","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","401","10","21","46","490","88","5300","500"
"10","false","false","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","381","13","20","53","487","116","5035","500"
"1","false","false","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","361","7","19","63","493","127","4770","500"
"6","false","false","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","401","13","21","36","487","86","5300","500"
"12","false","false","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","381","12","20","55","488","111","5035","500"
"2","false","false","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","381","10","20","53","490","102","5035","500"
"13","false","false","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","361","11","19","61","489","123","4770","500"
"16","false","false","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","381","11","20","47","489","90","5035","500"
"14","false","false","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","381","10","20","86","490","149","5035","500"
"22","false","false","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","381","16","20","52","484","111","5035","500"
"23","false","false","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","401","11","21","32","489","74","5300","500"
"15","false","false","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","381","8","20","81","492","133","5035","500"
"17","false","false","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","401","15","21","46","485","84","5300","500"
"18","false","false","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","381","17","20","46","483","87","5035","500"
"19","false","false","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","381","18","20","36","482","78","5035","500"
"20","false","false","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","381","11","20","50","489","83","5035","500"
"24","false","false","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","401","12","21","49","488","99","5300","500"
"21","false","false","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","361","11","19","184","489","330","4770","500"
"25","false","false","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","381","12","20","53","488","109","5035","500"
"26","false","false","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","381","11","20","72","489","140","5035","500"
"27","false","false","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","381","12","20","44","488","88","5035","500"
"34","false","false","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","401","9","21","39","491","76","5300","500"
"28","false","false","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","381","9","20","42","491","74","5035","500"
