"[run number]","deterrents","detection_sick_people","security_measures","proportion_retired","people","_network_type","_nodes","proportion_paranoid","proportion_worker","infectious_rate","duration","discovery_type","lockdown_type","proportion_student","stability-factor","proportion_skeptic","[step]","n_of_death","days","count turtles with [spreader? = true]","count turtles with [color = gray]","count turtles with [notp? = true]","Neg_student + Neg_retired + Neg_worker","count turtles with [color = gray] + n_of_death"
"7","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1041","13","53","52","470","84","13780","483"
"5","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1041","11","53","81","469","162","13780","480"
"2","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1281","13","65","60","477","115","16960","490"
"1","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1141","9","58","77","469","135","15105","478"
"9","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1461","14","74","67","473","132","19345","487"
"11","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1601","14","81","66","479","126","21200","493"
"12","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1521","10","77","50","473","93","20140","483"
"4","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1621","7","82","47","480","95","21465","487"
"10","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1761","12","89","64","470","147","23320","482"
"8","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1981","15","100","44","469","86","26235","484"
"3","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","2221","13","112","65","482","141","29150","495"
"6","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","2141","7","108","54","486","90","28355","493"
"21","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1021","8","52","49","476","129","13515","484"
"14","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1681","16","85","36","473","72","22260","489"
"19","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1541","18","78","35","465","87","20405","483"
"16","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1421","12","72","37","468","89","18815","480"
"15","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1821","13","92","68","479","110","24115","492"
"17","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1561","8","79","148","480","286","20670","488"
"20","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1741","10","88","112","477","189","23055","487"
"18","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1781","6","90","46","483","95","23585","489"
"23","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1461","12","74","66","479","136","19345","491"
