"[run number]","deterrents","detection_sick_people","security_measures","proportion_retired","people","_network_type","_nodes","proportion_paranoid","proportion_worker","infectious_rate","duration","discovery_type","lockdown_type","proportion_student","stability-factor","proportion_skeptic","[step]","n_of_death","days","count turtles with [spreader? = true]","count turtles with [color = gray]","count turtles with [notp? = true]","Neg_student + Neg_retired + Neg_worker","count turtles with [color = gray] + n_of_death"
"2","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1321","8","67","12","451","100","17225","459"
"5","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1941","10","98","13","456","128","25705","466"
"9","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","2061","9","104","19","460","119","27295","469"
"11","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","2201","9","111","9","462","106","29150","471"
"3","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","2521","11","127","13","476","99","33390","487"
"12","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","2001","8","101","11","470","83","26500","478"
"6","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","2281","12","115","7","464","88","30210","476"
"10","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","2541","16","128","10","448","79","33655","464"
"8","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","3281","11","165","24","457","186","43460","468"
"1","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","2461","11","124","13","454","87","32595","465"
"4","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","2921","9","147","11","482","97","38690","491"
"13","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","2321","13","117","16","458","124","30740","471"
"15","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","2081","14","105","8","469","80","27560","483"
"17","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","2121","19","107","10","443","110","28090","462"
"16","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","3181","11","160","14","466","149","42135","477"
"21","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","2761","10","139","10","476","88","36570","486"
"20","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","2781","10","140","16","461","147","36835","471"
"18","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","3861","13","194","17","481","114","51145","494"
"24","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","2241","11","113","14","464","114","29680","475"
"7","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","8301","12","416","43","465","312","109975","477"
"14","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","4921","11","247","17","470","170","65190","481"
"19","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","3741","10","188","16","449","207","49555","459"
"25","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","2341","11","118","11","461","99","31005","472"
"22","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","3721","13","187","12","460","114","49290","473"
"27","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1341","12","68","4","455","81","17755","467"
"23","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","5141","8","258","24","471","227","68105","479"
"31","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","2241","12","113","13","465","82","29680","477"
"28","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","3061","9","154","15","473","129","40545","482"
"26","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","4241","10","213","18","475","131","56180","485"
"30","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","2721","10","137","12","474","98","36040","484"
"29","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","3661","8","184","11","476","131","48495","484"
"32","true","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","2821","10","142","15","468","132","37365","478"
