"[run number]","deterrents","detection_sick_people","security_measures","proportion_retired","people","_network_type","_nodes","proportion_paranoid","proportion_worker","infectious_rate","duration","discovery_type","lockdown_type","proportion_student","stability-factor","proportion_skeptic","[step]","n_of_death","days","count turtles with [spreader? = true]","count turtles with [color = gray]","count turtles with [notp? = true]","Neg_student + Neg_retired + Neg_worker","count turtles with [color = gray] + n_of_death"
"9","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","381","11","20","44","489","82","6517.5","500"
"7","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","361","5","19","71","495","144","6202","500"
"4","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","381","8","20","51","492","123","6536.5","500"
"5","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","381","8","20","61","492","109","6557.5","500"
"10","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","381","7","20","57","493","98","6562.25","500"
"6","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","381","12","20","41","488","76","6476.5","500"
"12","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","361","8","19","66","492","138","6187.25","500"
"11","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","421","7","22","41","493","91","6893","500"
"1","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","381","20","20","56","480","110","6560.5","500"
"3","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","381","10","20","65","490","113","6506","500"
"8","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","401","10","21","35","490","70","6896.5","500"
"2","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","401","11","21","48","489","98","6907.5","500"
"13","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","381","9","20","63","491","112","6534.75","500"
"16","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","381","10","20","52","490","122","6481.5","500"
"19","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","381","14","20","36","486","76","6576.75","500"
"15","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","361","14","19","123","486","237","6133.5","500"
"17","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","381","9","20","70","491","117","6495.75","500"
"14","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","401","20","21","100","480","170","6984.25","500"
"20","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","381","11","20","43","489","88","6139.25","500"
"23","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","361","9","19","71","491","125","6188.75","500"
"22","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","361","15","19","70","485","133","6174","500"
"18","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","401","6","21","59","494","118","6893.25","500"
"21","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","381","9","20","43","491","80","6548.75","500"
"24","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","361","16","19","87","484","174","6188.5","500"
"25","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","361","16","19","48","484","84","6156.5","500"
"26","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","381","17","20","57","483","85","6534.75","500"
"28","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","401","15","21","60","485","124","6955.25","500"
"34","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","381","12","20","90","488","182","6599.25","500"
"33","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","361","9","19","59","491","126","6219.75","500"
"36","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","361","9","19","48","491","88","6226","500"
"32","false","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","381","10","20","73","490","142","6461.75","500"
