"[run number]","detection_sick_people","security_measures","proportion_retired","people","_network_type","_nodes","proportion_paranoid","proportion_worker","infectious_rate","duration","discovery_type","lockdown_type","proportion_student","stability-factor","proportion_skeptic","deterrents","[step]","n_of_death","days","count turtles with [spreader? = true]","count turtles with [color = gray]","count turtles with [notp? = true]","Neg_student + Neg_retired + Neg_worker","count turtles with [color = gray] + n_of_death"
"11","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","true","381","9","20","12","491","98","6571.75","500"
"9","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","true","381","13","20","17","487","130","6467.5","500"
"4","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","true","381","16","20","8","484","89","6511","500"
"7","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","true","381","9","20","11","491","114","6535.25","500"
"2","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","true","401","14","21","7","486","107","6922.5","500"
"1","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","true","381","9","20","12","491","82","6233.75","500"
"12","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","true","381","9","20","7","491","80","6538","500"
"10","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","true","401","9","21","19","491","165","6988.25","500"
"8","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","true","441","14","23","7","486","100","7568","500"
"5","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","true","421","13","22","16","487","199","6929.25","500"
"6","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","true","421","7","22","10","493","96","7283.25","500"
"3","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","true","401","12","21","14","488","137","6908.5","500"
"13","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","true","421","7","22","9","493","94","7311.75","500"
"14","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","true","401","6","21","13","494","89","6957.25","500"
"23","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","true","381","15","20","6","485","79","6474.5","500"
"21","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","true","401","11","21","13","489","89","6918.25","500"
"20","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","true","401","9","21","18","491","115","6910.75","500"
"22","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","true","421","10","22","5","490","70","7221.25","500"
"15","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","true","381","11","20","27","489","190","6489.75","500"
