"[run number]","deterrents","detection_sick_people","security_measures","proportion_retired","people","_network_type","_nodes","proportion_paranoid","proportion_worker","infectious_rate","duration","discovery_type","lockdown_type","proportion_student","stability-factor","proportion_skeptic","[step]","n_of_death","days","count turtles with [spreader? = true]","count turtles with [color = gray]","count turtles with [notp? = true]","Neg_student + Neg_retired + Neg_worker","count turtles with [color = gray] + n_of_death"
"11","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","341","1","18","25","7","198","4517.25","8"
"12","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","381","0","20","28","9","233","5091","9"
"6","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","381","1","20","12","8","106","5069.25","9"
"10","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","581","1","30","8","25","80","7837.75","26"
"5","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","661","1","34","9","30","96","8950.75","31"
"3","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","701","0","36","14","42","122","9611.25","42"
"15","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","281","0","15","30","6","283","3726","6"
"13","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","481","0","25","8","28","86","6497","28"
"7","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1121","0","57","11","62","93","15623.75","62"
"4","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1281","3","65","19","97","253","17949.25","100"
"9","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1181","4","60","11","214","94","17697.75","218"
"8","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1321","2","67","11","141","87","19083.75","143"
"18","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","561","0","29","29","22","266","7542","22"
"16","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","781","0","40","21","48","126","10627.5","48"
"2","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1641","0","83","22","80","131","22606.75","80"
"23","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","461","1","24","11","15","123","6180.25","16"
"19","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","881","0","45","13","38","112","11957.75","38"
"17","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1041","7","53","8","151","93","15196.75","158"
"21","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","801","0","41","18","76","168","11055.25","76"
"22","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","641","2","33","16","47","138","8781.5","49"
"14","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1701","3","86","15","149","100","24598","152"
"1","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","2001","6","101","7","121","72","28551.5","127"
"25","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","701","0","36","20","21","189","9138","21"
"20","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1201","4","61","7","150","85","17549","154"
"27","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","721","1","37","29","43","207","9817.75","44"
"29","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","381","0","20","8","9","124","5084.25","9"
"31","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","381","1","20","14","8","133","5061.5","9"
"24","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1141","1","58","17","58","157","15764.75","59"
"26","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1161","6","59","14","140","95","16669.5","146"
"30","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","721","4","37","23","40","217","9816.25","44"
"33","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","541","1","28","21","25","145","7292.75","26"
"34","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","541","0","28","16","18","120","7213.5","18"
"36","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1021","2","52","14","74","140","14120","76"
"41","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","521","0","27","8","19","95","7005.25","19"
"28","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1461","2","74","14","107","114","21067.5","109"
"32","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1501","3","76","14","136","161","21729","139"
"40","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1281","1","65","13","81","109","18019.75","82"
"35","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1341","3","68","15","197","85","19987.5","200"
"39","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1381","2","70","6","159","101","20225.75","161"
"37","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1401","2","71","14","130","92","19873.25","132"
"44","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","781","1","40","12","64","126","10774.75","65"
"43","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1261","3","64","14","105","101","17801.25","108"
"45","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","641","0","33","9","20","94","8589","20"
"38","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1761","10","89","9","152","86","25976.5","162"
"47","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","781","2","40","26","38","237","10639","40"
"49","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","581","1","30","8","26","140","7833","27"
"42","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1781","2","90","29","63","273","24284","65"
"55","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","441","0","23","10","14","92","1730","14"
"51","true","true","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","901","5","46","14","114","107","5292.75","119"
