"[run number]","proportion_retired","people","security_measures","detection_sick_people","proportion_worker","infectious_rate","duration","lockdown_type","proportion_student","[step]","n_of_death","days","count turtles with [color = gray]","Neg_student + Neg_retired + Neg_worker","count turtles with [color = gray] + n_of_death"
"7","29","500","false","false","53","3","14","lockdown_worker","18","381","8","19","492","5035","500"
"4","29","500","false","false","53","3","14","lockdown_worker","18","401","13","20","487","5300","500"
"8","29","500","false","false","53","3","14","lockdown_worker","18","401","8","20","492","5300","500"
"9","29","500","false","false","53","3","14","lockdown_worker","18","401","12","20","488","5300","500"
"11","29","500","false","false","53","3","14","lockdown_worker","18","381","16","19","484","5035","500"
"5","29","500","false","false","53","3","14","lockdown_worker","18","401","16","20","484","5300","500"
"6","29","500","false","false","53","3","14","lockdown_worker","18","401","10","20","490","5300","500"
"10","29","500","false","false","53","3","14","lockdown_worker","18","401","13","20","487","5300","500"
"3","29","500","false","false","53","3","14","lockdown_worker","18","381","14","19","486","5035","500"
"2","29","500","false","false","53","3","14","lockdown_worker","18","401","15","20","485","5300","500"
"12","29","500","false","false","53","3","14","lockdown_worker","18","401","12","20","488","5300","500"
"1","29","500","false","false","53","3","14","lockdown_worker","18","421","12","21","488","5300","500"
"13","29","500","false","false","53","3","14","lockdown_worker","18","381","9","19","491","5035","500"
"14","29","500","false","false","53","3","14","lockdown_worker","18","401","13","20","487","5300","500"
"18","29","500","false","false","53","3","14","lockdown_worker","18","381","10","19","490","5035","500"
"15","29","500","false","false","53","3","14","lockdown_worker","18","421","11","21","489","5565","500"
"20","29","500","false","false","53","3","14","lockdown_worker","18","401","15","20","485","5300","500"
"16","29","500","false","false","53","3","14","lockdown_worker","18","441","14","22","486","5830","500"
"19","29","500","false","false","53","3","14","lockdown_worker","18","401","9","20","491","5300","500"
"17","29","500","false","false","53","3","14","lockdown_worker","18","401","9","20","491","5300","500"
"21","29","500","false","false","53","3","14","lockdown_worker","18","401","11","20","489","5300","500"
"23","29","500","false","false","53","3","14","lockdown_worker","18","401","7","20","493","5300","500"
"22","29","500","false","false","53","3","14","lockdown_worker","18","441","14","22","486","5830","500"
"24","29","500","false","false","53","3","14","lockdown_worker","18","441","5","22","495","5565","500"
"25","29","500","false","false","53","3","14","lockdown_worker","18","381","10","19","490","5035","500"
"26","29","500","false","false","53","3","14","lockdown_worker","18","421","11","21","489","5565","500"
"28","29","500","false","false","53","3","14","lockdown_worker","18","381","10","19","490","5035","500"
"29","29","500","false","false","53","3","14","lockdown_worker","18","381","12","19","488","5035","500"
"30","29","500","false","false","53","3","14","lockdown_worker","18","401","15","20","485","5300","500"
"32","29","500","false","false","53","3","14","lockdown_worker","18","381","5","19","495","5035","500"
"27","29","500","false","false","53","3","14","lockdown_worker","18","401","8","20","492","5300","500"
"33","29","500","false","false","53","3","14","lockdown_worker","18","381","13","19","487","5035","500"
"31","29","500","false","false","53","3","14","lockdown_worker","18","401","6","20","494","5300","500"
"34","29","500","false","false","53","3","14","lockdown_worker","18","381","11","19","489","5035","500"
"35","29","500","false","false","53","3","14","lockdown_worker","18","381","13","19","487","5035","500"
"36","29","500","false","false","53","3","14","lockdown_worker","18","401","10","20","490","5300","500"
"37","29","500","false","false","53","3","14","lockdown_worker","18","361","9","18","491","4770","500"
"38","29","500","false","false","53","3","14","lockdown_worker","18","401","7","20","493","5300","500"
"40","29","500","false","false","53","3","14","lockdown_worker","18","381","15","19","485","5035","500"
"42","29","500","false","false","53","3","14","lockdown_worker","18","361","11","18","489","4770","500"
"41","29","500","false","false","53","3","14","lockdown_worker","18","401","11","20","489","5300","500"
"39","29","500","false","false","53","3","14","lockdown_worker","18","421","12","21","488","5565","500"
"45","29","500","false","false","53","3","14","lockdown_worker","18","401","12","20","488","5300","500"
"43","29","500","false","false","53","3","14","lockdown_worker","18","421","10","21","490","5300","500"
"44","29","500","false","false","53","3","14","lockdown_worker","18","421","11","21","489","5565","500"
"46","29","500","false","false","53","3","14","lockdown_worker","18","381","14","19","486","5035","500"
"47","29","500","false","false","53","3","14","lockdown_worker","18","441","9","22","491","5830","500"
"48","29","500","false","false","53","3","14","lockdown_worker","18","401","9","20","491","5300","500"
"49","29","500","false","false","53","3","14","lockdown_worker","18","401","15","20","485","5300","500"
"54","29","500","false","false","53","3","14","lockdown_worker","18","361","14","18","486","4770","500"
"52","29","500","false","false","53","3","14","lockdown_worker","18","381","14","19","486","5035","500"
"50","29","500","false","false","53","3","14","lockdown_worker","18","401","14","20","486","5300","500"
"51","29","500","false","false","53","3","14","lockdown_worker","18","401","13","20","487","5300","500"
"53","29","500","false","false","53","3","14","lockdown_worker","18","401","15","20","485","5300","500"
"55","29","500","false","false","53","3","14","lockdown_worker","18","421","7","21","493","5565","500"
"56","29","500","false","false","53","3","14","lockdown_worker","18","401","11","20","489","5300","500"
"57","29","500","false","false","53","3","14","lockdown_worker","18","381","11","19","489","5035","500"
"58","29","500","false","false","53","3","14","lockdown_worker","18","401","10","20","490","5300","500"
"59","29","500","false","false","53","3","14","lockdown_worker","18","381","16","19","484","5035","500"
"60","29","500","false","false","53","3","14","lockdown_worker","18","401","11","20","489","5300","500"
"61","29","500","false","false","53","3","14","lockdown_worker","18","401","11","20","489","5300","500"
"62","29","500","false","false","53","3","14","lockdown_worker","18","381","10","19","490","5035","500"
"65","29","500","false","false","53","3","14","lockdown_worker","18","401","12","20","488","5300","500"
"63","29","500","false","false","53","3","14","lockdown_worker","18","401","15","20","485","5300","500"
"64","29","500","false","false","53","3","14","lockdown_worker","18","401","13","20","487","5300","500"
"66","29","500","false","false","53","3","14","lockdown_worker","18","401","14","20","486","5300","500"
"67","29","500","false","false","53","3","14","lockdown_worker","18","381","12","19","488","5035","500"
"68","29","500","false","false","53","3","14","lockdown_worker","18","381","12","19","488","5035","500"
"69","29","500","false","false","53","3","14","lockdown_worker","18","421","12","21","488","5565","500"
"70","29","500","false","false","53","3","14","lockdown_worker","18","401","16","20","484","5300","500"
"71","29","500","false","false","53","3","14","lockdown_worker","18","381","7","19","493","5035","500"
"72","29","500","false","false","53","3","14","lockdown_worker","18","401","14","20","486","5300","500"
"73","29","500","false","false","53","3","14","lockdown_worker","18","401","11","20","489","5300","500"
"78","29","500","false","false","53","3","14","lockdown_worker","18","401","12","20","488","5300","500"
"75","29","500","false","false","53","3","14","lockdown_worker","18","421","13","21","487","5300","500"
