"[run number]","proportion_retired","people","security_measures","detection_sick_people","proportion_worker","infectious_rate","duration","lockdown_type","proportion_student","[step]","n_of_death","days","count turtles with [color = gray]","Neg_student + Neg_retired + Neg_worker","count turtles with [color = gray] + n_of_death"
"6","29","500","true","false","53","3","14","lockdown_worker","18","1081","9","54","465","14310","474"
"12","29","500","true","false","53","3","14","lockdown_worker","18","1161","12","58","467","15370","479"
"10","29","500","true","false","53","3","14","lockdown_worker","18","1341","13","67","473","17755","486"
"3","29","500","true","false","53","3","14","lockdown_worker","18","1321","11","66","468","17490","479"
"5","29","500","true","false","53","3","14","lockdown_worker","18","1921","9","96","473","25440","482"
"2","29","500","true","false","53","3","14","lockdown_worker","18","1601","11","80","475","21200","486"
"8","29","500","true","false","53","3","14","lockdown_worker","18","2021","12","101","470","26500","482"
"4","29","500","true","false","53","3","14","lockdown_worker","18","2021","12","101","474","26765","486"
"9","29","500","true","false","53","3","14","lockdown_worker","18","2081","13","104","464","27560","477"
"7","29","500","true","false","53","3","14","lockdown_worker","18","2361","12","118","468","31270","480"
"1","29","500","true","false","53","3","14","lockdown_worker","18","2241","6","112","482","29680","488"
"11","29","500","true","false","53","3","14","lockdown_worker","18","2481","15","124","471","32860","486"
"15","29","500","true","false","53","3","14","lockdown_worker","18","1481","11","74","475","19610","486"
"13","29","500","true","false","53","3","14","lockdown_worker","18","1981","4","99","476","25970","480"
"14","29","500","true","false","53","3","14","lockdown_worker","18","1881","7","94","462","24910","469"
"20","29","500","true","false","53","3","14","lockdown_worker","18","1341","16","67","463","17755","479"
"16","29","500","true","false","53","3","14","lockdown_worker","18","2021","10","101","479","26765","489"
"22","29","500","true","false","53","3","14","lockdown_worker","18","1241","12","62","469","16430","481"
"23","29","500","true","false","53","3","14","lockdown_worker","18","1581","17","79","466","20935","483"
"21","29","500","true","false","53","3","14","lockdown_worker","18","1761","10","88","480","23320","490"
"17","29","500","true","false","53","3","14","lockdown_worker","18","2141","11","107","476","28355","487"
"19","29","500","true","false","53","3","14","lockdown_worker","18","2061","6","103","474","27295","480"
"18","29","500","true","false","53","3","14","lockdown_worker","18","1941","7","97","481","25705","488"
"24","29","500","true","false","53","3","14","lockdown_worker","18","2461","12","123","470","32595","482"
"29","29","500","true","false","53","3","14","lockdown_worker","18","1241","20","62","457","16430","477"
"27","29","500","true","false","53","3","14","lockdown_worker","18","1921","18","96","458","25440","476"
"26","29","500","true","false","53","3","14","lockdown_worker","18","2201","17","110","471","29150","488"
"28","29","500","true","false","53","3","14","lockdown_worker","18","1621","8","81","468","21465","476"
"32","29","500","true","false","53","3","14","lockdown_worker","18","1401","13","70","464","18550","477"
"33","29","500","true","false","53","3","14","lockdown_worker","18","1301","15","65","462","17225","477"
"31","29","500","true","false","53","3","14","lockdown_worker","18","1521","13","76","457","20140","470"
"30","29","500","true","false","53","3","14","lockdown_worker","18","1901","8","95","481","25175","489"
"25","29","500","true","false","53","3","14","lockdown_worker","18","2841","16","142","472","37630","488"
"34","29","500","true","false","53","3","14","lockdown_worker","18","1361","12","68","468","18020","480"
"35","29","500","true","false","53","3","14","lockdown_worker","18","1401","12","70","467","18550","479"
"40","29","500","true","false","53","3","14","lockdown_worker","18","1261","8","63","462","16695","470"
"36","29","500","true","false","53","3","14","lockdown_worker","18","2401","14","120","462","31800","476"
"39","29","500","true","false","53","3","14","lockdown_worker","18","1641","12","82","473","21730","485"
"38","29","500","true","false","53","3","14","lockdown_worker","18","1801","15","90","468","23850","483"
"46","29","500","true","false","53","3","14","lockdown_worker","18","1181","4","59","474","15635","478"
"44","29","500","true","false","53","3","14","lockdown_worker","18","1661","7","83","474","21995","481"
"41","29","500","true","false","53","3","14","lockdown_worker","18","1721","9","86","478","22790","487"
"42","29","500","true","false","53","3","14","lockdown_worker","18","1841","15","92","464","24380","479"
"43","29","500","true","false","53","3","14","lockdown_worker","18","2141","15","107","464","28355","479"
"37","29","500","true","false","53","3","14","lockdown_worker","18","2761","8","138","476","36570","484"
"45","29","500","true","false","53","3","14","lockdown_worker","18","2141","10","107","478","28355","488"
"49","29","500","true","false","53","3","14","lockdown_worker","18","1041","9","52","467","13515","476"
"47","29","500","true","false","53","3","14","lockdown_worker","18","2161","10","108","471","28620","481"
"51","29","500","true","false","53","3","14","lockdown_worker","18","1361","12","68","466","18020","478"
"53","29","500","true","false","53","3","14","lockdown_worker","18","1141","14","57","466","15105","480"
"50","29","500","true","false","53","3","14","lockdown_worker","18","1781","17","89","468","23585","485"
"48","29","500","true","false","53","3","14","lockdown_worker","18","1801","6","90","479","23850","485"
"55","29","500","true","false","53","3","14","lockdown_worker","18","1701","8","85","470","22525","478"
"57","29","500","true","false","53","3","14","lockdown_worker","18","1121","12","56","458","14840","470"
"56","29","500","true","false","53","3","14","lockdown_worker","18","1281","19","64","455","16960","474"
"52","29","500","true","false","53","3","14","lockdown_worker","18","1941","9","97","474","25705","483"
"58","29","500","true","false","53","3","14","lockdown_worker","18","1561","14","78","463","20670","477"
"62","29","500","true","false","53","3","14","lockdown_worker","18","1141","12","57","473","14840","485"
"54","29","500","true","false","53","3","14","lockdown_worker","18","3461","21","173","464","45845","485"
"61","29","500","true","false","53","3","14","lockdown_worker","18","1561","12","78","469","20670","481"
"59","29","500","true","false","53","3","14","lockdown_worker","18","2221","19","111","463","29415","482"
"63","29","500","true","false","53","3","14","lockdown_worker","18","1621","8","81","469","21465","477"
"64","29","500","true","false","53","3","14","lockdown_worker","18","1621","8","81","474","21465","482"
"66","29","500","true","false","53","3","14","lockdown_worker","18","1801","17","90","463","23850","480"
"60","29","500","true","false","53","3","14","lockdown_worker","18","2661","10","133","476","35245","486"
"67","29","500","true","false","53","3","14","lockdown_worker","18","1661","9","83","473","21995","482"
"68","29","500","true","false","53","3","14","lockdown_worker","18","1921","6","96","479","25440","485"
"69","29","500","true","false","53","3","14","lockdown_worker","18","1681","8","84","478","22260","486"
"65","29","500","true","false","53","3","14","lockdown_worker","18","2321","14","116","470","30740","484"
"72","29","500","true","false","53","3","14","lockdown_worker","18","1361","14","68","459","18020","473"
"70","29","500","true","false","53","3","14","lockdown_worker","18","2001","12","100","468","26500","480"
"73","29","500","true","false","53","3","14","lockdown_worker","18","1561","15","78","471","20670","486"
"71","29","500","true","false","53","3","14","lockdown_worker","18","2161","12","108","481","28620","493"
"75","29","500","true","false","53","3","14","lockdown_worker","18","1281","14","64","459","16960","473"
"74","29","500","true","false","53","3","14","lockdown_worker","18","2001","12","100","468","26500","480"
"78","29","500","true","false","53","3","14","lockdown_worker","18","1721","13","86","468","22790","481"
"76","29","500","true","false","53","3","14","lockdown_worker","18","1761","10","88","474","23320","484"
"83","29","500","true","false","53","3","14","lockdown_worker","18","1481","11","74","465","19610","476"
"79","29","500","true","false","53","3","14","lockdown_worker","18","1721","9","86","480","22790","489"
"77","29","500","true","false","53","3","14","lockdown_worker","18","2081","17","104","466","27560","483"
"85","29","500","true","false","53","3","14","lockdown_worker","18","1281","13","64","458","16960","471"
"80","29","500","true","false","53","3","14","lockdown_worker","18","2061","15","103","468","27295","483"
"82","29","500","true","false","53","3","14","lockdown_worker","18","2281","11","114","472","30210","483"
"81","29","500","true","false","53","3","14","lockdown_worker","18","2421","11","121","482","32065","493"
"84","29","500","true","false","53","3","14","lockdown_worker","18","2081","6","104","475","27560","481"
"86","29","500","true","false","53","3","14","lockdown_worker","18","1661","12","83","473","21995","485"
"87","29","500","true","false","53","3","14","lockdown_worker","18","1801","7","90","468","23850","475"
"88","29","500","true","false","53","3","14","lockdown_worker","18","1461","11","73","471","19345","482"
"92","29","500","true","false","53","3","14","lockdown_worker","18","1161","9","58","462","15370","471"
"94","29","500","true","false","53","3","14","lockdown_worker","18","1121","11","56","465","14840","476"
"93","29","500","true","false","53","3","14","lockdown_worker","18","1461","9","73","474","19345","483"
"90","29","500","true","false","53","3","14","lockdown_worker","18","1661","9","83","462","21995","471"
"89","29","500","true","false","53","3","14","lockdown_worker","18","1721","19","86","463","22790","482"
"91","29","500","true","false","53","3","14","lockdown_worker","18","2081","8","104","469","27560","477"
"95","29","500","true","false","53","3","14","lockdown_worker","18","1901","4","95","486","25175","490"
"96","29","500","true","false","53","3","14","lockdown_worker","18","1841","19","92","469","24380","488"
"98","29","500","true","false","53","3","14","lockdown_worker","18","1541","15","77","457","20405","472"
"97","29","500","true","false","53","3","14","lockdown_worker","18","2081","13","104","476","27560","489"
"101","29","500","true","false","53","3","14","lockdown_retired","18","1021","11","51","475","3568","486"
"99","29","500","true","false","53","3","14","lockdown_worker","18","2121","12","106","461","28090","473"
"100","29","500","true","false","53","3","14","lockdown_worker","18","2201","16","110","470","29150","486"
"102","29","500","true","false","53","3","14","lockdown_retired","18","1541","15","77","479","5216","494"
"105","29","500","true","false","53","3","14","lockdown_retired","18","1221","8","61","483","4310.5","491"
"104","29","500","true","false","53","3","14","lockdown_retired","18","1781","13","89","484","6074","497"
"106","29","500","true","false","53","3","14","lockdown_retired","18","961","4","48","487","3433.5","491"
"108","29","500","true","false","53","3","14","lockdown_retired","18","1001","14","50","472","3478","486"
"107","29","500","true","false","53","3","14","lockdown_retired","18","1681","13","84","482","5744.5","495"
"103","29","500","true","false","53","3","14","lockdown_retired","18","2281","15","114","483","7637.5","498"
"109","29","500","true","false","53","3","14","lockdown_retired","18","1581","10","79","487","5489","497"
"111","29","500","true","false","53","3","14","lockdown_retired","18","961","10","48","484","3373.5","494"
"110","29","500","true","false","53","3","14","lockdown_retired","18","1981","11","99","486","6824.5","497"
"118","29","500","true","false","53","3","14","lockdown_retired","18","1061","13","53","479","3682.5","492"
"115","29","500","true","false","53","3","14","lockdown_retired","18","1161","12","58","481","4025","493"
"113","29","500","true","false","53","3","14","lockdown_retired","18","1581","11","79","483","5450.5","494"
"112","29","500","true","false","53","3","14","lockdown_retired","18","2141","11","107","486","7360.5","497"
"114","29","500","true","false","53","3","14","lockdown_retired","18","1481","6","74","490","5228","496"
"116","29","500","true","false","53","3","14","lockdown_retired","18","1661","12","83","486","5683","498"
"120","29","500","true","false","53","3","14","lockdown_retired","18","1441","6","72","489","5116.5","495"
"119","29","500","true","false","53","3","14","lockdown_retired","18","1861","8","93","490","6510","498"
"117","29","500","true","false","53","3","14","lockdown_retired","18","1801","9","90","487","6255","496"
"121","29","500","true","false","53","3","14","lockdown_retired","18","1041","8","52","484","3695","492"
"123","29","500","true","false","53","3","14","lockdown_retired","18","1581","6","79","489","5584","495"
"125","29","500","true","false","53","3","14","lockdown_retired","18","1141","11","57","475","3983","486"
"122","29","500","true","false","53","3","14","lockdown_retired","18","2181","15","109","482","7338","497"
"128","29","500","true","false","53","3","14","lockdown_retired","18","1061","8","53","477","3755","485"
"124","29","500","true","false","53","3","14","lockdown_retired","18","1821","16","91","477","6122.5","493"
"126","29","500","true","false","53","3","14","lockdown_retired","18","1481","6","74","485","5235.5","491"
"129","29","500","true","false","53","3","14","lockdown_retired","18","1641","9","82","485","5653","494"
"132","29","500","true","false","53","3","14","lockdown_retired","18","1101","11","55","472","3854.5","483"
"131","29","500","true","false","53","3","14","lockdown_retired","18","1581","16","79","480","5326","496"
"127","29","500","true","false","53","3","14","lockdown_retired","18","2081","8","104","488","7242.5","496"
"130","29","500","true","false","53","3","14","lockdown_retired","18","2221","16","111","481","7398.5","497"
"133","29","500","true","false","53","3","14","lockdown_retired","18","1441","4","72","477","5132","481"
"134","29","500","true","false","53","3","14","lockdown_retired","18","1301","12","65","477","4520.5","489"
"137","29","500","true","false","53","3","14","lockdown_retired","18","1001","6","50","487","3564.5","493"
"138","29","500","true","false","53","3","14","lockdown_retired","18","1241","9","62","483","4368.5","492"
"135","29","500","true","false","53","3","14","lockdown_retired","18","1541","12","77","481","5288","493"
"139","29","500","true","false","53","3","14","lockdown_retired","18","1321","13","66","482","4547","495"
"143","29","500","true","false","53","3","14","lockdown_retired","18","961","13","48","482","3359.5","495"
"136","29","500","true","false","53","3","14","lockdown_retired","18","1481","9","74","486","5166.5","495"
"140","29","500","true","false","53","3","14","lockdown_retired","18","1501","11","75","482","5207","493"
"142","29","500","true","false","53","3","14","lockdown_retired","18","1621","10","81","487","5625.5","497"
"146","29","500","true","false","53","3","14","lockdown_retired","18","961","10","48","480","3369.5","490"
"144","29","500","true","false","53","3","14","lockdown_retired","18","1041","18","52","477","3566.5","495"
"141","29","500","true","false","53","3","14","lockdown_retired","18","1641","13","82","483","5614.5","496"
"148","29","500","true","false","53","3","14","lockdown_retired","18","881","14","44","473","3067.5","487"
"145","29","500","true","false","53","3","14","lockdown_retired","18","1821","11","91","480","6260","491"
"151","29","500","true","false","53","3","14","lockdown_retired","18","1121","14","56","477","3878.5","491"
"153","29","500","true","false","53","3","14","lockdown_retired","18","1041","10","52","475","3647","485"
"149","29","500","true","false","53","3","14","lockdown_retired","18","1401","8","70","482","4923","490"
"147","29","500","true","false","53","3","14","lockdown_retired","18","1741","14","87","482","5913.5","496"
"156","29","500","true","false","53","3","14","lockdown_retired","18","1041","10","52","477","3670.5","487"
"150","29","500","true","false","53","3","14","lockdown_retired","18","2021","12","101","485","6908.5","497"
"154","29","500","true","false","53","3","14","lockdown_retired","18","1441","12","72","480","4992.5","492"
"155","29","500","true","false","53","3","14","lockdown_retired","18","1701","10","85","485","5918","495"
"152","29","500","true","false","53","3","14","lockdown_retired","18","1961","9","98","486","6813","495"
"157","29","500","true","false","53","3","14","lockdown_retired","18","1581","11","79","480","5480","491"
"158","29","500","true","false","53","3","14","lockdown_retired","18","1201","14","60","475","4172","489"
"159","29","500","true","false","53","3","14","lockdown_retired","18","1421","10","71","483","4976.5","493"
"160","29","500","true","false","53","3","14","lockdown_retired","18","1541","7","77","488","5430","495"
"162","29","500","true","false","53","3","14","lockdown_retired","18","1581","13","79","480","5408.5","493"
"161","29","500","true","false","53","3","14","lockdown_retired","18","1781","5","89","491","6306","496"
"166","29","500","true","false","53","3","14","lockdown_retired","18","1401","14","70","478","4800","492"
"164","29","500","true","false","53","3","14","lockdown_retired","18","1621","10","81","485","5647.5","495"
"170","29","500","true","false","53","3","14","lockdown_retired","18","1001","15","50","482","3495.5","497"
"168","29","500","true","false","53","3","14","lockdown_retired","18","1341","7","67","480","4742.5","487"
"163","29","500","true","false","53","3","14","lockdown_retired","18","2241","11","112","488","7705.5","499"
"165","29","500","true","false","53","3","14","lockdown_retired","18","2121","11","106","486","7239.5","497"
"169","29","500","true","false","53","3","14","lockdown_retired","18","1441","14","72","482","4937","496"
"167","29","500","true","false","53","3","14","lockdown_retired","18","2001","8","100","486","6980","494"
"172","29","500","true","false","53","3","14","lockdown_retired","18","1141","7","57","485","4052","492"
"171","29","500","true","false","53","3","14","lockdown_retired","18","1381","13","69","480","4755.5","493"
"173","29","500","true","false","53","3","14","lockdown_retired","18","1401","13","70","480","4768","493"
"175","29","500","true","false","53","3","14","lockdown_retired","18","1641","12","82","482","5708","494"
"174","29","500","true","false","53","3","14","lockdown_retired","18","1761","15","88","482","5972","497"
"176","29","500","true","false","53","3","14","lockdown_retired","18","1601","14","80","479","5471","493"
"178","29","500","true","false","53","3","14","lockdown_retired","18","1381","17","69","474","4672","491"
"177","29","500","true","false","53","3","14","lockdown_retired","18","1781","8","89","489","6157.5","497"
