"BehaviorSpace results (NetLogo 6.1.1)"
"paranoid_coronavirus.nlogo"
"control_coronavirus_det(on)_sec(off)"
"05/13/2020 09:51:49:810 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-30","30"
"[run number]","proportion_retired","people","security_measures","detection_sick_people","proportion_worker","infectious_rate","duration","lockdown_type","proportion_student","[step]","n_of_death","days","count turtles with [color = gray]","Neg_student + Neg_retired + Neg_worker"
"8","29","500","false","true","53","4","14","lockdown_worker","18","401","11","20","489","6942.25"
"11","29","500","false","true","53","4","14","lockdown_worker","18","381","11","19","489","6520"
"9","29","500","false","true","53","4","14","lockdown_worker","18","381","10","19","490","6528.5"
"7","29","500","false","true","53","4","14","lockdown_worker","18","401","17","20","483","6918.25"
"5","29","500","false","true","53","4","14","lockdown_worker","18","381","13","19","487","6523"
"2","29","500","false","true","53","4","14","lockdown_worker","18","401","15","20","485","6856"
"10","29","500","false","true","53","4","14","lockdown_worker","18","381","11","19","489","6507.75"
"12","29","500","false","true","53","4","14","lockdown_worker","18","401","6","20","494","6820.25"
"3","29","500","false","true","53","4","14","lockdown_worker","18","401","15","20","485","6866"
"6","29","500","false","true","53","4","14","lockdown_worker","18","401","10","20","490","6998.75"
"4","29","500","false","true","53","4","14","lockdown_worker","18","421","13","21","487","7282"
"1","29","500","false","true","53","4","14","lockdown_worker","18","421","14","21","486","7302.75"
"13","29","500","false","true","53","4","14","lockdown_worker","18","381","12","19","488","6520.75"
"16","29","500","false","true","53","4","14","lockdown_worker","18","401","10","20","490","6944.5"
"17","29","500","false","true","53","4","14","lockdown_worker","18","381","13","19","487","6484"
"15","29","500","false","true","53","4","14","lockdown_worker","18","401","14","20","486","6891.5"
"14","29","500","false","true","53","4","14","lockdown_worker","18","401","17","20","483","6925.75"
"20","29","500","false","true","53","4","14","lockdown_worker","18","401","11","20","489","6870.75"
"21","29","500","false","true","53","4","14","lockdown_worker","18","381","11","19","489","6539.75"
"19","29","500","false","true","53","4","14","lockdown_worker","18","401","10","20","490","6843.25"
"18","29","500","false","true","53","4","14","lockdown_worker","18","401","11","20","489","6911"
"22","29","500","false","true","53","4","14","lockdown_worker","18","421","12","21","488","7300.75"
"23","29","500","false","true","53","4","14","lockdown_worker","18","421","8","21","492","7294.5"
"24","29","500","false","true","53","4","14","lockdown_worker","18","401","14","20","486","6793.75"
"26","29","500","false","true","53","4","14","lockdown_worker","18","381","11","19","489","6549.75"
"25","29","500","false","true","53","4","14","lockdown_worker","18","381","9","19","491","6519.5"
"31","29","500","false","true","53","4","14","lockdown_retired","18","341","4","17","496","4362.75"
"27","29","500","false","true","53","4","14","lockdown_worker","18","381","11","19","489","6600.25"
"32","29","500","false","true","53","4","14","lockdown_retired","18","361","11","18","489","4697.75"
"30","29","500","false","true","53","4","14","lockdown_worker","18","381","9","19","491","6499.5"
"28","29","500","false","true","53","4","14","lockdown_worker","18","401","6","20","494","6886.25"
"29","29","500","false","true","53","4","14","lockdown_worker","18","401","14","20","486","6910.5"
"33","29","500","false","true","53","4","14","lockdown_retired","18","361","11","18","489","4588"
"34","29","500","false","true","53","4","14","lockdown_retired","18","361","12","18","488","4773.25"
"35","29","500","false","true","53","4","14","lockdown_retired","18","361","11","18","489","4729.25"
"36","29","500","false","true","53","4","14","lockdown_retired","18","341","13","17","487","4308"
"37","29","500","false","true","53","4","14","lockdown_retired","18","361","7","18","493","4602.25"
"38","29","500","false","true","53","4","14","lockdown_retired","18","381","6","19","494","4867.75"
"40","29","500","false","true","53","4","14","lockdown_retired","18","361","11","18","489","4693.25"
"41","29","500","false","true","53","4","14","lockdown_retired","18","341","12","17","488","4448"
"39","29","500","false","true","53","4","14","lockdown_retired","18","381","6","19","494","4890.25"
"42","29","500","false","true","53","4","14","lockdown_retired","18","361","16","18","484","4489"
"43","29","500","false","true","53","4","14","lockdown_retired","18","361","12","18","488","4731.5"
"45","29","500","false","true","53","4","14","lockdown_retired","18","381","11","19","489","5018"
"44","29","500","false","true","53","4","14","lockdown_retired","18","381","12","19","488","4967"
"46","29","500","false","true","53","4","14","lockdown_retired","18","381","13","19","487","4782"
"47","29","500","false","true","53","4","14","lockdown_retired","18","341","15","17","485","4369.75"
"48","29","500","false","true","53","4","14","lockdown_retired","18","341","16","17","484","4418.5"
"49","29","500","false","true","53","4","14","lockdown_retired","18","381","13","19","487","4741"
"50","29","500","false","true","53","4","14","lockdown_retired","18","361","10","18","490","4771.25"
"51","29","500","false","true","53","4","14","lockdown_retired","18","361","13","18","487","4611.25"
"54","29","500","false","true","53","4","14","lockdown_retired","18","341","8","17","492","4383.5"
