"BehaviorSpace results (NetLogo 6.1.1)"
"paranoid_coronavirus.nlogo"
"control_coronavirus_det(on)_sec(on)"
"05/13/2020 09:41:23:452 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-30","30"
"[run number]","proportion_retired","people","security_measures","detection_sick_people","proportion_worker","infectious_rate","duration","lockdown_type","proportion_student","[step]","n_of_death","days","count turtles with [color = gray]","Neg_student + Neg_retired + Neg_worker"
"9","29","500","true","true","53","4","14","lockdown_worker","18","421","0","21","14","5057.25"
"11","29","500","true","true","53","4","14","lockdown_worker","18","1001","11","50","318","15354.5"
"10","29","500","true","true","53","4","14","lockdown_worker","18","1121","10","56","304","16743.5"
"4","29","500","true","true","53","4","14","lockdown_worker","18","1121","6","56","294","16446.25"
"3","29","500","true","true","53","4","14","lockdown_worker","18","1221","13","61","344","17916"
"5","29","500","true","true","53","4","14","lockdown_worker","18","1241","6","62","287","18779.75"
"12","29","500","true","true","53","4","14","lockdown_worker","18","1401","9","70","329","20515.75"
"2","29","500","true","true","53","4","14","lockdown_worker","18","1301","8","65","305","18936.5"
"7","29","500","true","true","53","4","14","lockdown_worker","18","1501","3","75","287","21607"
"6","29","500","true","true","53","4","14","lockdown_worker","18","1521","7","76","308","22389"
"1","29","500","true","true","53","4","14","lockdown_worker","18","1361","11","68","294","19466"
"13","29","500","true","true","53","4","14","lockdown_worker","18","1241","10","62","312","19253.75"
"8","29","500","true","true","53","4","14","lockdown_worker","18","1741","5","87","332","27908.75"
"15","29","500","true","true","53","4","14","lockdown_worker","18","1421","13","71","347","21679"
"17","29","500","true","true","53","4","14","lockdown_worker","18","1321","8","66","316","20529.25"
"20","29","500","true","true","53","4","14","lockdown_worker","18","1261","6","63","329","18039.25"
"14","29","500","true","true","53","4","14","lockdown_worker","18","1901","14","95","289","30129.25"
"22","29","500","true","true","53","4","14","lockdown_worker","18","1221","4","61","330","18532.5"
"21","29","500","true","true","53","4","14","lockdown_worker","18","1341","9","67","309","18957"
"18","29","500","true","true","53","4","14","lockdown_worker","18","1841","5","92","320","25166.5"
"25","29","500","true","true","53","4","14","lockdown_worker","18","1401","5","70","281","18745.5"
"23","29","500","true","true","53","4","14","lockdown_worker","18","1521","12","76","310","22923.75"
"19","29","500","true","true","53","4","14","lockdown_worker","18","2121","9","106","274","30303.25"
"24","29","500","true","true","53","4","14","lockdown_worker","18","1881","11","94","240","29030.25"
"16","29","500","true","true","53","4","14","lockdown_worker","18","2521","10","126","317","42329.5"
"27","29","500","true","true","53","4","14","lockdown_worker","18","1141","12","57","307","16965.25"
"26","29","500","true","true","53","4","14","lockdown_worker","18","1481","9","74","337","19895.25"
"31","29","500","true","true","53","4","14","lockdown_retired","18","1121","6","56","385","12131.5"
"28","29","500","true","true","53","4","14","lockdown_worker","18","1401","6","70","288","20921.75"
"30","29","500","true","true","53","4","14","lockdown_worker","18","1341","4","67","300","19786.25"
"33","29","500","true","true","53","4","14","lockdown_retired","18","1061","10","53","388","10830.5"
"32","29","500","true","true","53","4","14","lockdown_retired","18","1161","7","58","352","12091.5"
"35","29","500","true","true","53","4","14","lockdown_retired","18","981","6","49","349","9335"
"34","29","500","true","true","53","4","14","lockdown_retired","18","921","6","46","380","10158"
"29","29","500","true","true","53","4","14","lockdown_worker","18","1801","6","90","308","27448"
"37","29","500","true","true","53","4","14","lockdown_retired","18","1001","7","50","409","9837.5"
"36","29","500","true","true","53","4","14","lockdown_retired","18","1241","11","62","396","11302.25"
"39","29","500","true","true","53","4","14","lockdown_retired","18","1121","6","56","418","9835"
"38","29","500","true","true","53","4","14","lockdown_retired","18","1401","14","70","356","11909.25"
"41","29","500","true","true","53","4","14","lockdown_retired","18","981","6","49","375","9074"
"45","29","500","true","true","53","4","14","lockdown_retired","18","961","7","48","353","8772.25"
"42","29","500","true","true","53","4","14","lockdown_retired","18","1181","10","59","391","12775"
"40","29","500","true","true","53","4","14","lockdown_retired","18","1361","10","68","365","12334.25"
